Wavelength,Ave Power
1527.60 ,-33.98749999999999
1527.99 ,-32.97333333333333
1528.38 ,-32.760000000000005
1528.77 ,-32.6
1529.16 ,-32.120000000000005
1529.55 ,-32.18749999999999
1529.94 ,-31.6
1530.33 ,-32.256249999999994
1530.72 ,-32.449999999999996
1531.12 ,-33.01
1531.51 ,-32.98571428571429
1531.90 ,-32.20714285714286
1532.29 ,-31.742857142857144
1532.68 ,-32.127272727272725
1533.07 ,-32.86666666666667
1533.47 ,-33.371428571428574
1533.86 ,-33.575
1534.25 ,-33.00000000000001
1534.64 ,-32.88
1535.04 ,-32.964285714285715
1535.43 ,-32.88
1535.82 ,-32.58571428571428
1536.22 ,-32.214285714285715
1536.61 ,-31.86923076923077
1537.00 ,-32.58888888888888
1537.40 ,-33.46
1537.79 ,-33.400000000000006
1538.19 ,-31.9
1538.58 ,-30.540000000000003
1538.98 ,-31.236363636363635
1539.37 ,-32.75000000000001
1539.77 ,-33.309999999999995
1540.16 ,-33.15384615384616
1540.56 ,-31.86923076923077
1540.95 ,-30.626666666666665
1541.35 ,-31.011111111111113
1541.75 ,-32.378571428571426
1542.14 ,-33.333333333333336
1542.54 ,-33.44666666666667
1542.94 ,-32.628571428571426
1543.33 ,-31.672727272727276
1543.73 ,-31.9
1544.13 ,-32.29166666666667
1544.53 ,-32.06875
1544.92 ,-31.55384615384616
1545.32 ,-31.818181818181817
1545.72 ,-32.82142857142857
1546.12 ,-33.25714285714286
1546.52 ,-33.13333333333333
1546.92 ,-31.94375
1547.32 ,-30.721428571428564
1547.72 ,-31.409999999999997
1548.11 ,-33.42666666666666
1548.51 ,-34.12
1548.91 ,-33.50909090909091
1549.32 ,-32.15384615384615
1549.72 ,-31.077777777777776
1550.12 ,-31.25
1550.52 ,-32.83571428571428
1550.92 ,-33.88
1551.32 ,-34.34
1551.72 ,-33.233333333333334
1552.12 ,-32.22142857142857
1552.52 ,-32.48461538461538
1552.93 ,-32.13999999999999
1553.33 ,-32.406666666666666
1553.73 ,-32.29090909090909
1554.13 ,-32.42
1554.54 ,-32.86428571428572
1554.94 ,-33.010000000000005
1555.34 ,-32.01
1555.75 ,-30.85
1556.15 ,-30.419999999999998
1556.55 ,-30.984615384615385
1556.96 ,-32.80714285714286
1557.36 ,-33.61
1557.77 ,-32.78125
1558.17 ,-31.32857142857143
1558.58 ,-30.65833333333333
1558.98 ,-30.58
1559.39 ,-31.84666666666667
1559.79 ,-32.56
1560.20 ,-32.714285714285715
1560.61 ,-32.52222222222222
1561.01 ,-31.773333333333333
1561.42 ,-31.39285714285714
1561.83 ,-31.369230769230764
1562.23 ,-30.863636363636363
1562.64 ,-31.044444444444448
1563.05 ,-31.78333333333333
1563.45 ,-32.78666666666667
1563.86 ,-33.41428571428572
1564.27 ,-31.890000000000004
1564.68 ,-30.46666666666666
1565.09 ,-30.011111111111113
1565.50 ,-30.771428571428572
1565.90 ,-32.012499999999996
1566.31 ,-33.50666666666667
1566.72 ,-32.96363636363637
