Wavelength,Ave Power
1527.60 ,-31.825531914893617
1527.99 ,-30.7235294117647
1528.38 ,-30.066666666666666
1528.77 ,-30.608888888888895
1529.16 ,-31.117647058823533
1529.55 ,-30.684000000000005
1529.94 ,-30.301960784313728
1530.33 ,-29.61153846153847
1530.72 ,-29.244230769230775
1531.12 ,-28.999999999999996
1531.51 ,-29.059615384615395
1531.90 ,-28.765384615384615
1532.29 ,-28.580769230769217
1532.68 ,-28.63777777777779
1533.07 ,-28.67826086956523
1533.47 ,-28.72745098039216
1533.86 ,-28.376470588235282
1534.25 ,-28.22352941176471
1534.64 ,-27.99333333333334
1535.04 ,-28.286274509803924
1535.43 ,-29.037777777777787
1535.82 ,-28.671428571428574
1536.22 ,-28.290697674418606
1536.61 ,-28.100000000000005
1537.00 ,-27.822580645161285
1537.40 ,-28.04705882352941
1537.79 ,-28.613333333333337
1538.19 ,-28.478787878787873
1538.58 ,-27.877142857142854
1538.98 ,-27.977419354838712
1539.37 ,-28.233333333333334
1539.77 ,-28.227586206896554
1540.16 ,-27.94545454545454
1540.56 ,-27.915625000000002
1540.95 ,-28.060606060606062
1541.35 ,-28.26551724137931
1541.75 ,-29.16875
1542.14 ,-29.189999999999998
1542.54 ,-28.464705882352945
1542.94 ,-28.278125000000003
1543.33 ,-28.57666666666666
1543.73 ,-28.858823529411758
1544.13 ,-29.751612903225812
1544.53 ,-30.15
1544.92 ,-29.373529411764707
1545.32 ,-29.32
1545.72 ,-29.73235294117647
1546.12 ,-30.096969696969698
1546.52 ,-30.32592592592593
1546.92 ,-30.455882352941178
1547.32 ,-30.248484848484846
1547.72 ,-29.968749999999996
1548.11 ,-30.905714285714282
1548.51 ,-31.670967741935478
1548.91 ,-31.025
1549.32 ,-30.549999999999994
1549.72 ,-30.874193548387098
1550.12 ,-30.62903225806452
1550.52 ,-31.470588235294116
1550.92 ,-32.90666666666666
1551.32 ,-32.51
1551.72 ,-31.62413793103448
1552.12 ,-31.16176470588235
1552.52 ,-31.07741935483871
1552.93 ,-31.446666666666665
1553.33 ,-32.539393939393946
1553.73 ,-32.686206896551724
1554.13 ,-31.49310344827585
1554.54 ,-30.573529411764707
1554.94 ,-30.556666666666665
1555.34 ,-30.77741935483871
1555.75 ,-31.096969696969698
1556.15 ,-31.370967741935477
1556.55 ,-30.644117647058827
1556.96 ,-29.721212121212123
1557.36 ,-29.816129032258065
1557.77 ,-29.9235294117647
1558.17 ,-30.05
1558.58 ,-30.549999999999997
1558.98 ,-30.14705882352942
1559.39 ,-29.757575757575765
1559.79 ,-29.986666666666665
1560.20 ,-29.89705882352941
1560.61 ,-29.64
1561.01 ,-29.805882352941172
1561.42 ,-29.66875
1561.83 ,-29.64848484848485
1562.23 ,-29.423076923076927
1562.64 ,-29.606896551724137
1563.05 ,-29.63125
1563.45 ,-29.011764705882356
1563.86 ,-29.151515151515152
1564.27 ,-29.313793103448276
1564.68 ,-29.15
1565.09 ,-29.430769230769236
1565.50 ,-29.424999999999997
1565.90 ,-28.4735294117647
1566.31 ,-28.53235294117647
1566.72 ,-28.865517241379308
