Time,Wavelength,Power
2024-06-14T14:20:21.252,1527.58651,-31.5
2024-06-14T14:20:21.058,1527.58535,-31.4
2024-06-14T14:20:21.252,1527.58651,-31.5
2024-06-14T14:20:21.387,1527.58871,-31.5
2024-06-14T14:20:21.581,1527.59275,-31.4
2024-06-14T14:20:21.719,1527.59597,-31.5
2024-06-14T14:20:21.912,1527.5994,-31.5
2024-06-14T14:20:22.050,1527.60233,-31.4
2024-06-14T14:20:22.243,1527.6074,-31.6
2024-06-14T14:20:22.381,1527.60775,-31.7
2024-06-14T14:20:22.574,1527.60752,-31.7
2024-06-14T14:20:22.712,1527.60769,-31.8
2024-06-14T14:20:22.905,1527.60758,-31.6
2024-06-14T14:20:23.044,1527.60794,-31.6
2024-06-14T14:20:23.240,1527.60733,-31.7
2024-06-14T14:20:23.377,1527.60736,-31.9
2024-06-14T14:20:23.569,1527.60658,-31.7
2024-06-14T14:20:23.707,1527.60658,-31.7
2024-06-14T14:20:23.902,1527.60609,-31.7
2024-06-14T14:20:24.044,1527.60598,-31.7
2024-06-14T14:20:24.246,1527.60615,-31.7
2024-06-14T14:20:24.373,1527.60615,-31.7
2024-06-14T14:20:24.567,1527.60565,-31.9
2024-06-14T14:20:24.702,1527.60559,-31.9
2024-06-14T14:20:24.895,1527.60502,-31.9
2024-06-14T14:20:25.034,1527.60518,-31.9
2024-06-14T14:20:25.228,1527.60521,-31.9
2024-06-14T14:20:25.363,1527.60517,-32
2024-06-14T14:20:25.560,1527.60478,-31.9
2024-06-14T14:20:25.696,1527.6043,-32.1
2024-06-14T14:20:25.889,1527.60436,-31.9
2024-06-14T14:20:26.027,1527.60451,-31.9
2024-06-14T14:20:26.222,1527.6046,-31.9
2024-06-14T14:20:26.358,1527.60437,-31.9
2024-06-14T14:20:26.554,1527.60422,-31.9
2024-06-14T14:20:26.690,1527.60458,-32
2024-06-14T14:20:26.883,1527.60474,-32
2024-06-14T14:20:27.022,1527.60503,-32
2024-06-14T14:20:27.217,1527.60482,-32
2024-06-14T14:20:27.354,1527.6051,-32
2024-06-14T14:20:27.548,1527.60469,-32
2024-06-14T14:20:27.683,1527.6047,-32
2024-06-14T14:20:27.878,1527.60471,-32.2
2024-06-14T14:20:28.016,1527.60503,-32.1
2024-06-14T14:20:28.210,1527.60472,-32.1
2024-06-14T14:20:28.349,1527.60498,-32.3
2024-06-14T14:20:28.544,1527.60507,-32.1
2024-06-14T14:20:28.685,1527.6048,-32
2024-06-14T14:20:30.536,1527.99339,-30.4
2024-06-14T14:20:30.672,1527.99393,-30.2
2024-06-14T14:20:30.865,1527.99364,-30.3
2024-06-14T14:20:31.002,1527.99369,-30.4
2024-06-14T14:20:31.196,1527.99323,-30.4
2024-06-14T14:20:31.333,1527.99274,-30.3
2024-06-14T14:20:31.529,1527.99272,-30.5
2024-06-14T14:20:31.664,1527.99288,-30.5
2024-06-14T14:20:31.860,1527.99252,-30.4
2024-06-14T14:20:31.996,1527.99295,-30.5
2024-06-14T14:20:32.190,1527.99227,-30.5
2024-06-14T14:20:32.327,1527.99259,-30.6
2024-06-14T14:20:32.523,1527.99296,-30.4
2024-06-14T14:20:32.659,1527.99267,-30.6
2024-06-14T14:20:32.853,1527.993,-30.5
2024-06-14T14:20:32.989,1527.99314,-30.6
2024-06-14T14:20:33.184,1527.99302,-30.4
2024-06-14T14:20:33.322,1527.99285,-30.5
2024-06-14T14:20:33.516,1527.9933,-30.7
2024-06-14T14:20:33.654,1527.99363,-30.7
2024-06-14T14:20:33.849,1527.99339,-30.6
2024-06-14T14:20:33.986,1527.99352,-30.7
2024-06-14T14:20:34.179,1527.99364,-30.7
2024-06-14T14:20:34.317,1527.99363,-30.8
2024-06-14T14:20:34.511,1527.99348,-30.8
2024-06-14T14:20:34.649,1527.99344,-30.8
2024-06-14T14:20:34.843,1527.99368,-30.9
2024-06-14T14:20:34.979,1527.99339,-30.9
2024-06-14T14:20:35.173,1527.99366,-30.8
2024-06-14T14:20:35.310,1527.99417,-30.7
2024-06-14T14:20:35.504,1527.99417,-30.8
2024-06-14T14:20:35.643,1527.99393,-30.9
2024-06-14T14:20:35.840,1527.99374,-30.8
2024-06-14T14:20:35.975,1527.99336,-30.8
2024-06-14T14:20:36.169,1527.99368,-31
2024-06-14T14:20:36.305,1527.99381,-30.9
2024-06-14T14:20:36.501,1527.99387,-30.9
2024-06-14T14:20:36.639,1527.99385,-31
2024-06-14T14:20:36.833,1527.99357,-31.1
2024-06-14T14:20:36.970,1527.99356,-31.1
2024-06-14T14:20:37.165,1527.99357,-31
2024-06-14T14:20:37.301,1527.99371,-31.1
2024-06-14T14:20:37.496,1527.99315,-30.9
2024-06-14T14:20:37.634,1527.99378,-31.1
2024-06-14T14:20:37.830,1527.99374,-31
2024-06-14T14:20:37.966,1527.99393,-31.1
2024-06-14T14:20:38.160,1527.99377,-31
2024-06-14T14:20:38.298,1527.99401,-31
2024-06-14T14:20:38.492,1527.99389,-31
