Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-14T13:59:43.674,1567.13181,-27.2
2024-06-14T13:59:43.793,1567.13163,-27.0
2024-06-14T13:59:43.990,1567.13147,-27.0
2024-06-14T13:59:44.125,1567.13130,-27.0
2024-06-14T13:59:44.322,1567.13129,-27.0
2024-06-14T13:59:44.459,1567.13146,-27.0
2024-06-14T13:59:44.656,1567.13178,-27.1
2024-06-14T13:59:44.791,1567.13197,-27.1
2024-06-14T13:59:44.987,1567.13178,-27.1
2024-06-14T13:59:45.123,1567.13188,-27.1
2024-06-14T13:59:45.321,1567.13188,-27.1
2024-06-14T13:59:45.457,1567.13195,-27.1
2024-06-14T13:59:45.655,1567.13195,-27.1
2024-06-14T13:59:45.789,1567.13185,-27.1
2024-06-14T13:59:45.987,1567.13178,-27.0
2024-06-14T13:59:46.122,1567.13161,-27.1
2024-06-14T13:59:46.319,1567.13131,-27.1
2024-06-14T13:59:46.455,1567.13173,-27.1
2024-06-14T13:59:46.652,1567.13178,-27.2
2024-06-14T13:59:46.787,1567.13145,-27.2
2024-06-14T13:59:46.985,1567.13173,-27.0
2024-06-14T13:59:47.120,1567.13221,-27.1
2024-06-14T13:59:47.316,1567.13170,-27.1
2024-06-14T13:59:47.452,1567.13156,-27.0
2024-06-14T13:59:47.651,1567.13163,-27.1
2024-06-14T13:59:47.787,1567.13188,-27.0
2024-06-14T13:59:47.986,1567.13322,-30.0
2024-06-14T13:59:48.122,1530.98784,-30.7
2024-06-14T13:59:48.319,1530.98796,-30.4
2024-06-14T13:59:48.454,1530.98806,-30.1
2024-06-14T13:59:48.651,1530.98768,-30.2
2024-06-14T13:59:48.785,1532.52152,-30.1
2024-06-14T13:59:48.992,1530.98765,-29.9
2024-06-14T13:59:49.139,1532.52291,-29.8
2024-06-14T13:59:49.322,1531.50151,-30.0
2024-06-14T13:59:49.456,1530.09929,-29.9
2024-06-14T13:59:49.653,1530.09949,-29.9
2024-06-14T13:59:49.786,1529.72984,-28.1
2024-06-14T13:59:49.983,1527.58661,-26.8
2024-06-14T13:59:50.117,1527.58563,-25.7
2024-06-14T13:59:50.313,1527.58747,-25.6
2024-06-14T13:59:50.452,1527.59035,-25.6
2024-06-14T13:59:50.649,1527.59427,-25.6
2024-06-14T13:59:50.782,1527.59743,-25.5
2024-06-14T13:59:50.979,1527.60096,-25.5
2024-06-14T13:59:51.115,1527.60483,-25.6
2024-06-14T13:59:51.311,1527.60771,-25.6
2024-06-14T13:59:51.448,1527.60740,-25.6
2024-06-14T13:59:51.645,1527.60703,-25.6
2024-06-14T13:59:51.780,1527.60729,-25.7
2024-06-14T13:59:51.979,1527.60754,-25.7
2024-06-14T13:59:52.112,1527.60762,-25.7
2024-06-14T13:59:52.310,1527.60720,-25.8
2024-06-14T13:59:52.446,1527.60733,-25.7
2024-06-14T13:59:52.645,1527.60673,-25.7
2024-06-14T13:59:52.779,1527.60658,-25.7
2024-06-14T13:59:52.977,1527.60605,-25.7
2024-06-14T13:59:53.112,1527.60604,-25.8
2024-06-14T13:59:53.309,1527.60609,-25.8
2024-06-14T13:59:53.445,1527.60574,-25.9
2024-06-14T13:59:53.642,1527.60553,-25.9
2024-06-14T13:59:53.778,1527.60522,-25.8
