Time,Wavelength,Power
2024-06-19T13:22:39.742,1527.60474,-32.2,1527.60465
2024-06-19T13:22:39.975,1527.60475,-32.2,1527.60474
2024-06-19T13:22:40.220,1527.60442,-32.2,1527.60474
2024-06-19T13:22:40.449,1527.60455,-32.2,1527.60442
2024-06-19T13:22:40.712,1527.60442,-32.2,1527.60455
2024-06-19T13:22:40.935,1527.60461,-32.2,1527.60442
2024-06-19T13:22:41.185,1527.60458,-32.2,1527.60460
2024-06-19T13:22:41.418,1527.60458,-32.2,1527.60458
2024-06-19T13:22:41.670,1527.60467,-32.2,1527.60458
2024-06-19T13:22:41.898,1527.60456,-32.2,1527.60467
2024-06-19T13:22:42.141,1527.60465,-32.1,1527.60456
2024-06-19T13:22:42.383,1527.60480,-32.2,1527.60465
2024-06-19T13:22:42.614,1527.60481,-32.2,1527.60480
2024-06-19T13:22:42.860,1527.60419,-32.1,1527.60480
2024-06-19T13:22:43.090,1527.60485,-32.2,1527.60418
2024-06-19T13:22:43.353,1527.60501,-32.2,1527.60485
2024-06-19T13:22:43.578,1527.60412,-32.1,1527.60501
2024-06-19T13:22:43.827,1527.60442,-32.1,1527.60412
2024-06-19T13:22:44.066,1527.60444,-32.1,1527.60442
2024-06-19T13:22:44.322,1527.60477,-32.1,1527.60443
2024-06-19T13:22:44.544,1527.60414,-32.1,1527.60477
2024-06-19T13:22:44.783,1527.60445,-32.1,1527.60414
2024-06-19T13:22:45.029,1527.60444,-32.2,1527.60445
2024-06-19T13:22:45.258,1527.60424,-32.0,1527.60444
2024-06-19T13:22:45.511,1527.60456,-32.2,1527.60423
2024-06-19T13:22:45.739,1527.60465,-32.2,1527.60455
2024-06-19T13:22:45.999,1527.60470,-32.2,1527.60465
2024-06-19T13:22:46.222,1527.60448,-32.2,1527.60470
2024-06-19T13:22:46.471,1527.60489,-32.1,1527.60447
2024-06-19T13:22:46.710,1527.60505,-32.2,1527.60489
2024-06-19T13:22:46.966,1527.60519,-32.2,1527.60505
2024-06-19T13:22:47.195,1527.60426,-32.2,1527.60519
2024-06-19T13:22:47.435,1527.60434,-32.1,1527.60426
2024-06-19T13:22:47.695,1527.60471,-32.1,1527.60433
2024-06-19T13:22:47.924,1527.60434,-32.1,1527.60471
2024-06-19T13:22:48.155,1527.60438,-32.1,1527.60434
2024-06-19T13:22:48.385,1527.60486,-32.2,1527.60437
2024-06-19T13:22:48.647,1527.60469,-32.2,1527.60485
2024-06-19T13:22:48.874,1527.60465,-32.1,1527.60468
2024-06-19T13:22:49.116,1527.60507,-32.1,1527.60465
2024-06-19T13:22:49.370,1527.60488,-32.1,1527.60507
2024-06-19T13:22:49.635,1527.60516,-32.1,1527.60488
2024-06-19T13:22:49.860,1527.60470,-32.1,1527.60516
2024-06-19T13:22:50.109,1527.60492,-32.2,1527.60470
2024-06-19T13:22:50.347,1527.60532,-32.2,1527.60491
2024-06-19T13:22:50.606,1527.60515,-32.1,1527.60531
2024-06-19T13:22:50.833,1527.60454,-32.1,1527.60515
2024-06-19T13:22:51.073,1527.60432,-32.1,1527.60454
2024-06-19T13:22:51.320,1527.60486,-32.2,1527.60432
2024-06-19T13:22:51.552,1527.60451,-32.2,1527.60486
2024-06-19T13:22:51.802,1527.60540,-32.1,1527.60450
2024-06-19T13:22:52.044,1527.60469,-32.1,1527.60540
2024-06-19T13:22:52.295,1527.60452,-32.2,1527.60469
2024-06-19T13:22:52.519,1527.60479,-32.1,1527.60451
2024-06-19T13:22:52.771,1527.60425,-32.2,1527.60479
2024-06-19T13:22:53.005,1527.60479,-32.2,1527.60424
2024-06-19T13:22:53.264,1527.60499,-32.1,1527.60479
2024-06-19T13:22:53.488,1527.60519,-32.1,1527.60498
2024-06-19T13:22:53.730,1527.60479,-32.0,1527.60518
2024-06-19T13:22:53.976,1527.60519,-32.1,1527.60479
2024-06-19T13:22:54.244,1527.60525,-32.1,1527.60519
2024-06-19T13:22:54.473,1527.60512,-32.1,1527.60525
2024-06-19T13:22:54.713,1527.60451,-32.1,1527.60512
2024-06-19T13:22:54.958,1527.60433,-32.1,1527.60451
2024-06-19T13:22:55.189,1527.60450,-32.1,1527.60433
2024-06-19T13:22:55.438,1527.60471,-32.1,1527.60449
2024-06-19T13:22:55.672,1527.60479,-32.1,1527.60471
2024-06-19T13:22:55.932,1527.60453,-32.1,1527.60479
2024-06-19T13:22:57.920,1527.99373,-31.3,0
2024-06-19T13:22:58.147,1527.99378,-31.3,1527.99373
2024-06-19T13:22:58.397,1527.99298,-31.2,1527.99378
2024-06-19T13:22:58.626,1527.99309,-31.3,1527.99298
2024-06-19T13:22:58.889,1527.99276,-31.3,1527.99309
2024-06-19T13:22:59.114,1527.99229,-31.3,1527.99276
2024-06-19T13:22:59.356,1527.99200,-31.3,1527.99230
2024-06-19T13:22:59.611,1527.99240,-31.3,1527.99200
2024-06-19T13:22:59.875,1527.99253,-31.4,1527.99240
2024-06-19T13:23:00.101,1527.99249,-31.5,1527.99253
2024-06-19T13:23:00.338,1527.99246,-31.5,1527.99249
2024-06-19T13:23:00.581,1527.99234,-31.5,1527.99246
2024-06-19T13:23:00.821,1527.99316,-31.5,1527.99235
2024-06-19T13:23:01.064,1527.99323,-31.6,1527.99316
2024-06-19T13:23:01.298,1527.99285,-31.5,1527.99323
2024-06-19T13:23:01.552,1527.99340,-31.6,1527.99286
2024-06-19T13:23:01.775,1527.99328,-31.7,1527.99340
2024-06-19T13:23:02.023,1527.99313,-31.7,1527.99328
2024-06-19T13:23:02.258,1527.99347,-31.7,1527.99314
2024-06-19T13:23:02.519,1527.99397,-31.7,1527.99348
2024-06-19T13:23:02.746,1527.99360,-31.7,1527.99397
2024-06-19T13:23:02.988,1527.99326,-31.8,1527.99360
2024-06-19T13:23:03.233,1527.99391,-31.8,1527.99326
2024-06-19T13:23:03.482,1527.99371,-31.8,1527.99391
2024-06-19T13:23:03.715,1527.99351,-31.8,1527.99371
2024-06-19T13:23:03.956,1527.99352,-31.9,1527.99351
2024-06-19T13:23:04.201,1527.99352,-32.0,1527.99352
2024-06-19T13:23:04.423,1527.99343,-32.0,1527.99352
2024-06-19T13:23:04.671,1527.99362,-32.0,1527.99344
2024-06-19T13:23:04.904,1527.99418,-32.0,1527.99362
2024-06-19T13:23:05.161,1527.99395,-31.9,1527.99418
2024-06-19T13:23:05.387,1527.99332,-32.0,1527.99395
2024-06-19T13:23:05.627,1527.99345,-32.0,1527.99332
2024-06-19T13:23:05.875,1527.99347,-32.0,1527.99345
2024-06-19T13:23:09.114,1528.38616,-31.4,1528.39846
2024-06-19T13:23:09.368,1528.38466,-31.4,1528.38615
2024-06-19T13:23:09.601,1528.38410,-31.4,1528.38467
2024-06-19T13:23:09.857,1528.38343,-31.4,1528.38411
2024-06-19T13:23:10.135,1528.38332,-31.4,1528.38344
2024-06-19T13:23:10.358,1528.38266,-31.4,1528.38332
2024-06-19T13:23:10.604,1528.38215,-31.5,1528.38267
2024-06-19T13:23:10.845,1528.38251,-31.5,1528.38216
2024-06-19T13:23:11.101,1528.38320,-31.5,1528.38252
2024-06-19T13:23:11.328,1528.38260,-31.5,1528.38321
2024-06-19T13:23:11.571,1528.38222,-31.6,1528.38262
2024-06-19T13:23:11.818,1528.38266,-31.7,1528.38223
2024-06-19T13:23:12.047,1528.38259,-31.6,1528.38266
2024-06-19T13:23:12.295,1528.38352,-31.7,1528.38260
2024-06-19T13:23:12.525,1528.38374,-31.8,1528.38353
2024-06-19T13:23:12.789,1528.38407,-31.7,1528.38375
2024-06-19T13:23:13.013,1528.38368,-31.7,1528.38408
2024-06-19T13:23:13.257,1528.38383,-31.8,1528.38369
