Time,Wavelength,Power
2024-06-19T13:52:05.800,1527.60484,-30.5,1527.60498
2024-06-19T13:52:06.041,1527.60421,-30.3,1527.60483
2024-06-19T13:52:06.272,1527.60442,-30.3,1527.60421
2024-06-19T13:52:06.533,1527.60480,-30.4,1527.60441
2024-06-19T13:52:06.776,1527.60478,-30.5,1527.60480
2024-06-19T13:52:07.029,1527.60463,-30.3,1527.60477
2024-06-19T13:52:07.262,1527.60474,-30.4,1527.60463
2024-06-19T13:52:07.522,1527.60463,-30.4,1527.60474
2024-06-19T13:52:07.749,1527.60450,-30.3,1527.60462
2024-06-19T13:52:07.994,1527.60456,-30.4,1527.60450
2024-06-19T13:52:08.236,1527.60467,-30.4,1527.60456
2024-06-19T13:52:08.503,1527.60430,-30.3,1527.60467
2024-06-19T13:52:08.723,1527.60429,-30.3,1527.60429
2024-06-19T13:52:08.958,1527.60429,-30.4,1527.60429
2024-06-19T13:52:09.212,1527.60463,-30.5,1527.60429
2024-06-19T13:52:09.457,1527.60468,-30.4,1527.60463
2024-06-19T13:52:09.704,1527.60458,-30.3,1527.60468
2024-06-19T13:52:09.938,1527.60468,-30.4,1527.60458
2024-06-19T13:52:10.196,1527.60478,-30.4,1527.60467
2024-06-19T13:52:10.429,1527.60450,-30.3,1527.60479
2024-06-19T13:52:10.676,1527.60473,-30.3,1527.60450
2024-06-19T13:52:10.905,1527.60490,-30.3,1525.46315
2024-06-19T13:52:11.169,1527.60489,-30.3,1527.60490
2024-06-19T13:52:11.389,1527.60455,-30.4,1527.60488
2024-06-19T13:52:11.638,1527.60435,-30.3,1527.60454
2024-06-19T13:52:11.878,1527.60460,-30.4,1527.60435
2024-06-19T13:52:12.135,1527.60483,-30.3,1527.60460
2024-06-19T13:52:12.363,1527.60473,-30.4,1527.60483
2024-06-19T13:52:12.603,1527.60445,-30.5,1527.60473
2024-06-19T13:52:12.852,1527.60467,-30.4,1527.60445
2024-06-19T13:52:13.085,1527.60445,-30.7,1527.60467
2024-06-19T13:52:13.334,1527.60448,-30.3,1527.60445
2024-06-19T13:52:13.566,1527.60487,-30.3,1527.60448
2024-06-19T13:52:13.827,1527.60463,-30.3,1527.60486
2024-06-19T13:52:14.055,1527.60423,-30.3,1527.60463
2024-06-19T13:52:14.303,1527.60477,-30.4,1527.60422
2024-06-19T13:52:14.536,1527.60544,-30.5,1527.60477
2024-06-19T13:52:14.796,1527.60490,-30.3,1527.60544
2024-06-19T13:52:15.023,1527.60504,-30.4,1527.60490
2024-06-19T13:52:15.269,1527.60459,-30.3,1525.46252
2024-06-19T13:52:15.510,1527.60458,-30.4,1527.60459
2024-06-19T13:52:15.760,1527.60481,-30.4,1527.60458
2024-06-19T13:52:15.989,1527.60481,-30.3,1527.60481
2024-06-19T13:52:16.227,1527.60471,-30.4,1527.60481
2024-06-19T13:52:16.475,1527.60462,-30.4,1527.60471
2024-06-19T13:52:16.702,1527.60454,-30.5,1527.60462
2024-06-19T13:52:16.958,1527.60491,-30.3,1527.60454
2024-06-19T13:52:17.210,1527.60504,-30.2,1527.60491
