Time,Wavelength,Power
2024-06-20T14:15:50.203,1527.60502,-20.4
2024-06-20T14:15:50.402,1527.60469,-20.3
2024-06-20T14:15:50.529,1527.60525,-20.3
2024-06-20T14:15:50.721,1527.60499,-20.3
2024-06-20T14:15:50.854,1527.60523,-20.3
2024-06-20T14:15:51.049,1527.60482,-20.4
2024-06-20T14:15:51.184,1527.60475,-20.4
2024-06-20T14:15:51.378,1527.60448,-20.3
2024-06-20T14:15:51.517,1527.60460,-20.3
2024-06-20T14:15:51.713,1527.60515,-20.3
2024-06-20T14:15:51.853,1527.60541,-20.3
2024-06-20T14:15:52.051,1527.60483,-20.2
2024-06-20T14:15:52.187,1527.60512,-20.4
2024-06-20T14:15:52.382,1527.60440,-20.3
2024-06-20T14:15:52.517,1527.60476,-20.4
2024-06-20T14:15:52.712,1527.60492,-20.2
2024-06-20T14:15:52.848,1527.60507,-20.2
2024-06-20T14:15:53.043,1527.60479,-20.2
2024-06-20T14:15:53.176,1527.60492,-20.2
2024-06-20T14:15:53.372,1527.60456,-20.2
2024-06-20T14:15:53.508,1527.60491,-20.2
2024-06-20T14:15:53.703,1527.60489,-20.2
2024-06-20T14:15:53.843,1527.60504,-20.2
2024-06-20T14:15:54.039,1527.60476,-20.2
2024-06-20T14:15:54.176,1527.60509,-20.3
2024-06-20T14:15:54.373,1527.60497,-20.2
2024-06-20T14:15:54.510,1527.60519,-20.2
2024-06-20T14:15:54.705,1527.60475,-20.4
2024-06-20T14:15:54.842,1527.60473,-20.2
2024-06-20T14:15:55.037,1527.60459,-20.2
2024-06-20T14:15:55.170,1527.60478,-20.2
2024-06-20T14:15:55.367,1527.60461,-20.2
2024-06-20T14:15:55.500,1527.60493,-20.2
2024-06-20T14:15:55.695,1527.60466,-20.2
2024-06-20T14:15:55.830,1527.60533,-20.2
2024-06-20T14:15:56.026,1527.60517,-20.3
2024-06-20T14:15:56.161,1527.60484,-20.2
2024-06-20T14:15:56.356,1527.60477,-20.5
2024-06-20T14:15:56.489,1527.60502,-20.3
2024-06-20T14:15:56.684,1527.60452,-20.2
2024-06-20T14:15:56.821,1527.60490,-20.2
2024-06-20T14:15:57.016,1527.60455,-20.2
2024-06-20T14:15:57.157,1527.60472,-20.2
2024-06-20T14:15:57.352,1527.60443,-20.3
2024-06-20T14:15:57.490,1527.60495,-20.3
2024-06-20T14:15:57.695,1527.60411,-20.4
2024-06-20T14:15:57.825,1527.60449,-20.2
2024-06-20T14:15:58.028,1527.60455,-20.2
2024-06-20T14:15:58.156,1527.60468,-20.4
2024-06-20T14:15:58.350,1527.60451,-20.4
2024-06-20T14:15:58.483,1527.60494,-20.4
2024-06-20T14:15:58.678,1527.60434,-20.2
2024-06-20T14:15:58.813,1527.60483,-20.3
2024-06-20T14:15:59.007,1527.60501,-20.4
2024-06-20T14:15:59.142,1527.60514,-20.5
2024-06-20T14:15:59.338,1527.60456,-20.3
2024-06-20T14:15:59.474,1527.60472,-20.4
2024-06-20T14:15:59.670,1527.60521,-20.2
2024-06-20T14:15:59.808,1527.60518,-20.3
2024-06-20T14:16:00.003,1527.60477,-20.5
2024-06-20T14:16:00.143,1527.60513,-20.3
2024-06-20T14:16:00.340,1527.60478,-20.3
2024-06-20T14:16:00.479,1527.60506,-20.3
2024-06-20T14:16:00.678,1527.60489,-20.3
2024-06-20T14:16:00.806,1527.60471,-20.3
2024-06-20T14:16:01.001,1527.60446,-20.3
2024-06-20T14:16:01.136,1527.60476,-20.3
2024-06-20T14:16:01.332,1527.60467,-20.3
2024-06-20T14:16:01.467,1527.60489,-20.3
2024-06-20T14:16:01.660,1527.60462,-20.3
2024-06-20T14:16:01.794,1527.60482,-20.4
2024-06-20T14:16:01.989,1527.60436,-20.3
2024-06-20T14:16:03.659,1527.99190,-20.1
2024-06-20T14:16:03.791,1527.99342,-19.7
2024-06-20T14:16:03.982,1527.99384,-19.6
2024-06-20T14:16:04.118,1527.99385,-19.7
2024-06-20T14:16:04.313,1527.99328,-19.7
2024-06-20T14:16:04.453,1527.99339,-19.8
2024-06-20T14:16:04.648,1527.99289,-19.8
2024-06-20T14:16:04.787,1527.99273,-19.7
2024-06-20T14:16:04.983,1527.99249,-19.8
2024-06-20T14:16:05.120,1527.99259,-19.9
2024-06-20T14:16:05.327,1527.99236,-19.9
2024-06-20T14:16:05.464,1527.99266,-20.0
2024-06-20T14:16:05.660,1527.99274,-19.9
2024-06-20T14:16:05.789,1527.99275,-19.9
2024-06-20T14:16:05.986,1527.99270,-20.0
2024-06-20T14:16:06.119,1527.99303,-20.0
2024-06-20T14:16:06.317,1527.99275,-19.9
2024-06-20T14:16:06.451,1527.99323,-20.0
2024-06-20T14:16:06.646,1527.99309,-20.1
2024-06-20T14:16:06.780,1527.99330,-20.1
2024-06-20T14:16:06.976,1527.99350,-19.9
2024-06-20T14:16:07.108,1527.99417,-20.1
2024-06-20T14:16:07.303,1527.99388,-20.3
2024-06-20T14:16:07.441,1527.99399,-20.3
2024-06-20T14:16:07.636,1527.99355,-20.3
2024-06-20T14:16:07.773,1527.99378,-20.3
2024-06-20T14:16:07.971,1527.99348,-20.2
2024-06-20T14:16:08.109,1527.99389,-20.2
2024-06-20T14:16:08.306,1527.99364,-20.2
2024-06-20T14:16:08.443,1527.99363,-20.3
2024-06-20T14:16:08.639,1527.99398,-20.2
2024-06-20T14:16:08.773,1527.99422,-20.2
2024-06-20T14:16:08.970,1527.99358,-20.3
2024-06-20T14:16:09.103,1527.99368,-20.3
2024-06-20T14:16:09.297,1527.99313,-20.3
2024-06-20T14:16:09.434,1527.99330,-20.3
2024-06-20T14:16:09.628,1527.99343,-20.5
2024-06-20T14:16:09.762,1527.99362,-20.4
2024-06-20T14:16:09.958,1527.99390,-20.4
2024-06-20T14:16:10.094,1527.99410,-20.5
2024-06-20T14:16:10.289,1527.99361,-20.5
2024-06-20T14:16:10.428,1527.99405,-20.5
2024-06-20T14:16:10.623,1527.99378,-20.4
2024-06-20T14:16:10.769,1527.99409,-20.5
2024-06-20T14:16:10.968,1527.99352,-20.6
2024-06-20T14:16:11.096,1527.99375,-20.5
2024-06-20T14:16:11.291,1527.99365,-20.6
2024-06-20T14:16:11.428,1527.99391,-20.5
2024-06-20T14:16:11.622,1527.99378,-20.6
2024-06-20T14:16:11.756,1527.99431,-20.4
2024-06-20T14:16:11.952,1527.99410,-20.5
2024-06-20T14:16:15.931,1528.39870,-20.3
2024-06-20T14:16:16.067,1528.38942,-20.4
2024-06-20T14:16:16.262,1528.38316,-20.3
2024-06-20T14:16:16.398,1528.38437,-20.4
2024-06-20T14:16:16.593,1528.38410,-20.3
2024-06-20T14:16:16.733,1528.38382,-20.3
2024-06-20T14:16:16.930,1528.38289,-20.3
2024-06-20T14:16:17.065,1528.38319,-20.2
2024-06-20T14:16:17.262,1528.38294,-20.3
2024-06-20T14:16:17.396,1528.38315,-20.2
2024-06-20T14:16:17.590,1528.38295,-20.5
2024-06-20T14:16:17.725,1528.38302,-20.4
