Time,Wavelength,Power
2024-06-14T15:23:40.489,1527.60482,-32.6
2024-06-14T15:23:40.718,1527.60497,-32.7
2024-06-14T15:23:40.965,1527.60499,-32.7
2024-06-14T15:23:41.188,1527.60458,-32.7
2024-06-14T15:23:41.445,1527.60493,-32.7
2024-06-14T15:23:41.675,1527.60449,-32.6
2024-06-14T15:23:41.929,1527.60486,-32.7
2024-06-14T15:23:42.152,1527.60477,-32.7
2024-06-14T15:23:42.407,1527.60484,-32.6
2024-06-14T15:23:42.645,1527.60487,-32.6
2024-06-14T15:23:42.887,1527.60498,-32.7
2024-06-14T15:23:43.124,1527.60459,-32.6
2024-06-14T15:23:43.374,1527.60486,-32.7
2024-06-14T15:23:43.620,1527.60488,-32.7
2024-06-14T15:23:43.843,1527.60498,-32.7
2024-06-14T15:23:44.086,1527.60451,-32.6
2024-06-14T15:23:44.325,1527.60451,-32.7
2024-06-14T15:23:44.584,1527.60467,-32.6
2024-06-14T15:23:44.809,1527.60465,-32.7
2024-06-14T15:23:45.041,1527.60464,-32.7
2024-06-14T15:23:45.284,1527.60474,-32.7
2024-06-14T15:23:45.536,1527.60407,-32.6
2024-06-14T15:23:45.772,1527.60470,-32.6
2024-06-14T15:23:46.011,1527.60466,-32.7
2024-06-14T15:23:46.251,1527.60467,-32.7
2024-06-14T15:23:46.473,1527.60474,-32.7
2024-06-14T15:23:46.725,1527.60510,-32.7
2024-06-14T15:23:46.963,1527.60495,-32.7
2024-06-14T15:23:47.211,1527.60503,-32.7
2024-06-14T15:23:47.435,1527.60493,-32.6
2024-06-14T15:23:47.687,1527.60496,-32.6
2024-06-14T15:23:47.933,1527.60473,-32.6
2024-06-14T15:23:48.165,1527.60505,-32.6
2024-06-14T15:23:48.406,1527.60492,-32.7
2024-06-14T15:23:48.636,1527.60491,-32.7
2024-06-14T15:23:48.902,1527.60517,-32.6
2024-06-14T15:23:49.128,1527.60506,-32.7
2024-06-14T15:23:49.365,1527.60478,-32.8
2024-06-14T15:23:49.608,1527.60471,-32.7
2024-06-14T15:23:49.872,1527.60432,-32.7
2024-06-14T15:23:50.100,1527.60466,-32.7
2024-06-14T15:23:50.341,1527.60479,-32.6
2024-06-14T15:23:50.600,1527.60510,-32.7
2024-06-14T15:23:50.839,1527.60493,-32.6
2024-06-14T15:23:51.084,1527.60454,-32.6
2024-06-14T15:23:51.334,1527.60458,-32.6
2024-06-14T15:23:51.582,1527.60501,-32.6
2024-06-14T15:23:51.812,1527.60502,-32.6
2024-06-14T15:23:52.050,1527.60499,-32.6
2024-06-14T15:23:52.276,1527.60488,-32.7
2024-06-14T15:23:54.311,1527.99422,-34.5
2024-06-14T15:23:54.592,1527.99365,-32.9
2024-06-14T15:23:54.841,1527.99335,-32.9
2024-06-14T15:23:55.069,1527.99298,-32.9
2024-06-14T15:23:55.317,1527.99292,-33.0
2024-06-14T15:23:55.565,1527.99297,-32.8
2024-06-14T15:23:55.798,1527.99296,-32.9
2024-06-14T15:23:56.037,1527.99260,-33.0
2024-06-14T15:23:56.278,1527.99218,-33.0
2024-06-14T15:23:56.531,1527.99233,-33.0
2024-06-14T15:23:56.754,1527.99266,-33.1
2024-06-14T15:23:57.001,1527.99302,-33.2
2024-06-14T15:23:57.240,1527.99284,-33.1
2024-06-14T15:23:57.505,1527.99344,-33.1
2024-06-14T15:23:57.733,1527.99357,-33.2
2024-06-14T15:23:57.962,1527.99348,-33.3
2024-06-14T15:23:58.210,1527.99348,-33.2
2024-06-14T15:23:58.451,1527.99389,-33.3
2024-06-14T15:23:58.696,1527.99374,-33.3
2024-06-14T15:23:58.925,1527.99365,-33.4
2024-06-14T15:23:59.177,1527.99364,-33.4
2024-06-14T15:23:59.402,1527.99363,-33.4
2024-06-14T15:23:59.654,1527.99347,-33.4
2024-06-14T15:23:59.893,1527.99329,-33.3
2024-06-14T15:24:00.139,1527.99285,-33.2
2024-06-14T15:24:00.371,1527.99328,-33.4
2024-06-14T15:24:00.625,1527.99339,-33.3
2024-06-14T15:24:00.886,1527.99317,-33.4
2024-06-14T15:24:01.135,1527.99353,-33.6
2024-06-14T15:24:01.363,1527.99381,-33.7
2024-06-14T15:24:01.612,1527.99382,-33.7
2024-06-14T15:24:01.854,1527.99365,-33.8
2024-06-14T15:24:02.086,1527.99357,-33.8
2024-06-14T15:24:02.324,1527.99345,-33.7
2024-06-14T15:24:05.520,1528.39814,-34.3
2024-06-14T15:24:05.755,1528.38565,-34.1
2024-06-14T15:24:06.012,1528.38448,-34.0
2024-06-14T15:24:06.245,1528.38319,-34.0
2024-06-14T15:24:06.494,1528.38271,-34.0
2024-06-14T15:24:06.727,1528.38251,-34.1
2024-06-14T15:24:06.982,1528.38285,-34.0
2024-06-14T15:24:07.213,1528.38287,-34.2
2024-06-14T15:24:07.463,1528.38274,-34.2
2024-06-14T15:24:07.688,1528.38242,-34.2
2024-06-14T15:24:07.943,1528.38287,-34.2
2024-06-14T15:24:08.183,1528.38299,-34.3
2024-06-14T15:24:08.431,1528.38330,-34.2
2024-06-14T15:24:08.658,1528.38339,-34.2
2024-06-14T15:24:08.905,1528.38445,-34.3
2024-06-14T15:24:09.166,1528.38385,-34.3
2024-06-14T15:24:09.417,1528.38401,-34.3
2024-06-14T15:24:09.649,1528.38394,-34.3
2024-06-14T15:24:09.881,1528.38387,-34.3
2024-06-14T15:24:10.146,1528.38351,-34.4
2024-06-14T15:24:10.374,1528.38353,-34.4
2024-06-14T15:24:10.607,1528.38384,-34.5
2024-06-14T15:24:10.842,1528.38429,-34.5
2024-06-14T15:24:11.132,1528.38382,-34.5
2024-06-14T15:24:11.360,1528.38409,-34.6
2024-06-14T15:24:11.600,1528.38377,-34.6
2024-06-14T15:24:11.836,1528.38367,-34.6
2024-06-14T15:24:12.105,1528.38368,-34.6
2024-06-14T15:24:12.324,1528.38383,-34.8
2024-06-14T15:24:12.558,1528.38397,-34.8
2024-06-14T15:24:15.571,1528.75903,-34.2
2024-06-14T15:24:15.810,1528.76131,-34.2
2024-06-14T15:24:16.068,1528.76745,-34.1
