Time,Wavelength,Power
2024-06-13T13:49:04.799,1529.16205,-33.95773947
2024-06-13T13:49:05.048,1529.16329,-33.78823718
2024-06-13T13:49:05.275,1529.16418,-33.86158178
2024-06-13T13:49:05.514,1529.16447,-33.7675071
2024-06-13T13:49:05.748,1529.16378,-33.72634143
2024-06-13T13:49:06.012,1529.16341,-33.89339837
2024-06-13T13:49:06.235,1529.16338,-33.90405591
2024-06-13T13:49:06.462,1529.16297,-34.00116928
2024-06-13T13:49:06.709,1529.16284,-33.96855627
2024-06-13T13:49:06.933,1529.16269,-33.99027104
2024-06-13T13:49:07.178,1529.16324,-33.87216143
2024-06-13T13:49:07.415,1529.16327,-34.06713933
2024-06-13T13:49:09.728,1529.55383,-33.84049948
2024-06-13T13:49:09.996,1529.55456,-33.81951903
2024-06-13T13:49:10.221,1529.55428,-33.86158178
2024-06-13T13:49:10.462,1529.55246,-33.7675071
2024-06-13T13:49:10.708,1529.55262,-33.91473966
2024-06-13T13:49:10.935,1529.55255,-33.80906669
2024-06-13T13:49:11.174,1529.55182,-33.7161107
2024-06-13T13:49:11.411,1529.5519,-34.00116928
2024-06-13T13:49:11.673,1529.55213,-33.87216143
2024-06-13T13:49:11.896,1529.55199,-33.89339837
2024-06-13T13:49:12.131,1529.55148,-33.93618635
2024-06-13T13:49:12.378,1529.55189,-33.94694954
2024-06-13T13:49:14.844,1529.92874,-34.68521083
2024-06-13T13:49:15.096,1529.93184,-34.65973894
2024-06-13T13:49:15.353,1529.93456,-34.54692884
2024-06-13T13:49:15.576,1529.93808,-34.58420756
2024-06-13T13:49:15.829,1529.94616,-34.68521083
2024-06-13T13:49:16.064,1529.94569,-34.67245621
2024-06-13T13:49:16.319,1529.94607,-34.59670525
2024-06-13T13:49:16.552,1529.94601,-34.55931956
2024-06-13T13:49:16.798,1529.94527,-34.58420756
2024-06-13T13:49:17.046,1529.94448,-34.54692884
2024-06-13T13:49:17.277,1529.94458,-34.57174573
2024-06-13T13:49:17.516,1529.94422,-34.92144128
2024-06-13T13:49:19.272,1530.33256,-34.31798276
2024-06-13T13:49:19.536,1530.33376,-34.20216403
2024-06-13T13:49:19.779,1530.33356,-34.16801226
2024-06-13T13:49:20.049,1530.33239,-34.15668776
2024-06-13T13:49:20.280,1530.33238,-34.08935393
2024-06-13T13:49:20.516,1530.33219,-34.225082
2024-06-13T13:49:20.755,1530.33198,-34.24812155
2024-06-13T13:49:21.011,1530.33219,-34.27128398
2024-06-13T13:49:21.232,1530.3324,-34.24812155
2024-06-13T13:49:21.477,1530.33215,-34.2365865
2024-06-13T13:49:21.717,1530.33237,-34.1453927
2024-06-13T13:49:21.980,1530.33223,-34.36518915
2024-06-13T13:49:22.205,1530.33287,-34.44905551
2024-06-13T13:49:22.438,1530.33357,-34.36518915
2024-06-13T13:49:22.687,1530.33332,-34.37707136
2024-06-13T13:49:22.911,1530.33282,-34.50996738
2024-06-13T13:49:24.117,1530.35767,-38.15308569
2024-06-13T13:49:25.659,1530.73116,-34.46116973
2024-06-13T13:49:25.882,1530.72399,-34.49771647
2024-06-13T13:49:26.132,1530.72433,-34.57174573
2024-06-13T13:49:26.375,1530.72374,-34.6470588
