Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-19T16:39:32.936,1527.60436,-7.49
2024-06-19T16:39:33.150,1527.60473,-7.49
2024-06-19T16:39:33.401,1527.60499,-7.53
2024-06-19T16:39:33.629,1527.60506,-7.54
2024-06-19T16:39:33.886,1527.60486,-7.51
2024-06-19T16:39:34.113,1527.60431,-7.50
2024-06-19T16:39:34.384,1527.60465,-7.48
2024-06-19T16:39:34.621,1527.60501,-7.52
2024-06-19T16:39:34.867,1527.60457,-7.47
2024-06-19T16:39:35.106,1527.60491,-7.52
2024-06-19T16:39:35.345,1527.60455,-7.47
2024-06-19T16:39:35.592,1527.60440,-7.49
2024-06-19T16:39:35.823,1527.60472,-7.48
2024-06-19T16:39:36.077,1527.60517,-7.55
2024-06-19T16:39:36.308,1527.60500,-7.51
2024-06-19T16:39:36.567,1527.60474,-7.47
2024-06-19T16:39:36.793,1527.60463,-7.48
2024-06-19T16:39:37.039,1527.60436,-7.49
2024-06-19T16:39:37.278,1527.60485,-7.48
2024-06-19T16:39:37.536,1527.60451,-7.48
2024-06-19T16:39:37.762,1527.60424,-7.50
2024-06-19T16:39:38.004,1527.60469,-7.48
2024-06-19T16:39:38.250,1527.60463,-7.48
2024-06-19T16:39:38.485,1527.60457,-7.47
2024-06-19T16:39:38.730,1527.60499,-7.55
2024-06-19T16:39:38.967,1527.60498,-7.54
2024-06-19T16:39:39.232,1527.60497,-7.52
2024-06-19T16:39:39.462,1527.60468,-7.49
2024-06-19T16:39:39.712,1527.60474,-7.50
2024-06-19T16:39:39.938,1527.60460,-7.48
2024-06-19T16:39:40.196,1527.60437,-7.49
2024-06-19T16:39:40.420,1527.60446,-7.49
2024-06-19T16:39:40.660,1527.60437,-7.48
2024-06-19T16:39:40.907,1527.60451,-7.47
2024-06-19T16:39:41.150,1527.60499,-7.53
2024-06-19T16:39:41.391,1527.60484,-7.53
2024-06-19T16:39:41.632,1527.60482,-7.54
2024-06-19T16:39:41.878,1527.60486,-7.52
