Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-14T15:23:40.489,1527.60482,-32.6
2024-06-14T15:23:40.718,1527.60497,-32.7
2024-06-14T15:23:40.965,1527.60499,-32.7
2024-06-14T15:23:41.188,1527.60458,-32.7
2024-06-14T15:23:41.445,1527.60493,-32.7
2024-06-14T15:23:41.675,1527.60449,-32.6
2024-06-14T15:23:41.929,1527.60486,-32.7
2024-06-14T15:23:42.152,1527.60477,-32.7
2024-06-14T15:23:42.407,1527.60484,-32.6
2024-06-14T15:23:42.645,1527.60487,-32.6
2024-06-14T15:23:42.887,1527.60498,-32.7
2024-06-14T15:23:43.124,1527.60459,-32.6
2024-06-14T15:23:43.374,1527.60486,-32.7
2024-06-14T15:23:43.620,1527.60488,-32.7
2024-06-14T15:23:43.843,1527.60498,-32.7
2024-06-14T15:23:44.086,1527.60451,-32.6
2024-06-14T15:23:44.325,1527.60451,-32.7
2024-06-14T15:23:44.584,1527.60467,-32.6
2024-06-14T15:23:44.809,1527.60465,-32.7
2024-06-14T15:23:45.041,1527.60464,-32.7
2024-06-14T15:23:45.284,1527.60474,-32.7
2024-06-14T15:23:45.536,1527.60407,-32.6
2024-06-14T15:23:45.772,1527.60470,-32.6
2024-06-14T15:23:46.011,1527.60466,-32.7
2024-06-14T15:23:46.251,1527.60467,-32.7
2024-06-14T15:23:46.473,1527.60474,-32.7
2024-06-14T15:23:46.725,1527.60510,-32.7
2024-06-14T15:23:46.963,1527.60495,-32.7
2024-06-14T15:23:47.211,1527.60503,-32.7
2024-06-14T15:23:47.435,1527.60493,-32.6
2024-06-14T15:23:47.687,1527.60496,-32.6
2024-06-14T15:23:47.933,1527.60473,-32.6
2024-06-14T15:23:48.165,1527.60505,-32.6
2024-06-14T15:23:48.406,1527.60492,-32.7
2024-06-14T15:23:48.636,1527.60491,-32.7
2024-06-14T15:23:48.902,1527.60517,-32.6
2024-06-14T15:23:49.128,1527.60506,-32.7
2024-06-14T15:23:49.365,1527.60478,-32.8
2024-06-14T15:23:49.608,1527.60471,-32.7
2024-06-14T15:23:49.872,1527.60432,-32.7
2024-06-14T15:23:50.100,1527.60466,-32.7
2024-06-14T15:23:50.341,1527.60479,-32.6
2024-06-14T15:23:50.600,1527.60510,-32.7
2024-06-14T15:23:50.839,1527.60493,-32.6
2024-06-14T15:23:51.084,1527.60454,-32.6
2024-06-14T15:23:51.334,1527.60458,-32.6
2024-06-14T15:23:51.582,1527.60501,-32.6
2024-06-14T15:23:51.812,1527.60502,-32.6
2024-06-14T15:23:52.050,1527.60499,-32.6
2024-06-14T15:23:52.276,1527.60488,-32.7
2024-06-14T15:23:52.544,1527.60469,-32.7
2024-06-14T15:23:52.769,1529.42559,-37.8
2024-06-14T15:23:53.004,1530.08281,-37.7
2024-06-14T15:23:53.248,1529.84090,-37.4
2024-06-14T15:23:53.535,1530.04379,-37.0
2024-06-14T15:23:53.789,1529.86492,-37.1
2024-06-14T15:23:54.034,1527.99419,-35.6
2024-06-14T15:23:54.311,1527.99422,-34.5
2024-06-14T15:23:54.592,1527.99365,-32.9
2024-06-14T15:23:54.841,1527.99335,-32.9
2024-06-14T15:23:55.069,1527.99298,-32.9
2024-06-14T15:23:55.317,1527.99292,-33.0
2024-06-14T15:23:55.565,1527.99297,-32.8
2024-06-14T15:23:55.798,1527.99296,-32.9
2024-06-14T15:23:56.037,1527.99260,-33.0
2024-06-14T15:23:56.278,1527.99218,-33.0
2024-06-14T15:23:56.531,1527.99233,-33.0
2024-06-14T15:23:56.754,1527.99266,-33.1
2024-06-14T15:23:57.001,1527.99302,-33.2
2024-06-14T15:23:57.240,1527.99284,-33.1
2024-06-14T15:23:57.505,1527.99344,-33.1
2024-06-14T15:23:57.733,1527.99357,-33.2
2024-06-14T15:23:57.962,1527.99348,-33.3
2024-06-14T15:23:58.210,1527.99348,-33.2
2024-06-14T15:23:58.451,1527.99389,-33.3
2024-06-14T15:23:58.696,1527.99374,-33.3
2024-06-14T15:23:58.925,1527.99365,-33.4
2024-06-14T15:23:59.177,1527.99364,-33.4
2024-06-14T15:23:59.402,1527.99363,-33.4
2024-06-14T15:23:59.654,1527.99347,-33.4
2024-06-14T15:23:59.893,1527.99329,-33.3
2024-06-14T15:24:00.139,1527.99285,-33.2
2024-06-14T15:24:00.371,1527.99328,-33.4
2024-06-14T15:24:00.625,1527.99339,-33.3
2024-06-14T15:24:00.886,1527.99317,-33.4
2024-06-14T15:24:01.135,1527.99353,-33.6
2024-06-14T15:24:01.363,1527.99381,-33.7
2024-06-14T15:24:01.612,1527.99382,-33.7
2024-06-14T15:24:01.854,1527.99365,-33.8
2024-06-14T15:24:02.086,1527.99357,-33.8
2024-06-14T15:24:02.324,1527.99345,-33.7
2024-06-14T15:24:02.557,1527.99357,-33.7
2024-06-14T15:24:02.827,1530.29625,-37.8
2024-06-14T15:24:03.051,1531.02638,-37.6
2024-06-14T15:24:03.288,1530.49170,-37.6
2024-06-14T15:24:03.533,1530.49209,-37.8
2024-06-14T15:24:03.796,1530.49203,-37.8
2024-06-14T15:24:04.024,1530.49180,-37.9
2024-06-14T15:24:04.256,1530.49226,-37.7
2024-06-14T15:24:04.506,1530.49193,-37.6
2024-06-14T15:24:04.735,1530.49211,-37.4
2024-06-14T15:24:05.016,1529.83631,-35.9
2024-06-14T15:24:05.274,1528.39689,-35.3
2024-06-14T15:24:05.520,1528.39814,-34.3
2024-06-14T15:24:05.755,1528.38565,-34.1
2024-06-14T15:24:06.012,1528.38448,-34.0
2024-06-14T15:24:06.245,1528.38319,-34.0
2024-06-14T15:24:06.494,1528.38271,-34.0
2024-06-14T15:24:06.727,1528.38251,-34.1
2024-06-14T15:24:06.982,1528.38285,-34.0
2024-06-14T15:24:07.213,1528.38287,-34.2
2024-06-14T15:24:07.463,1528.38274,-34.2
2024-06-14T15:24:07.688,1528.38242,-34.2
2024-06-14T15:24:07.943,1528.38287,-34.2
2024-06-14T15:24:08.183,1528.38299,-34.3
2024-06-14T15:24:08.431,1528.38330,-34.2
