Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-19T15:57:34.710,1527.60465,-8.00
2024-06-19T15:57:34.912,1527.60486,-7.99
2024-06-19T15:57:35.138,1527.60494,-7.97
2024-06-19T15:57:35.377,1527.60444,-8.00
2024-06-19T15:57:35.616,1527.60420,-8.00
2024-06-19T15:57:35.869,1527.60474,-7.99
2024-06-19T15:57:36.093,1527.60442,-8.00
2024-06-19T15:57:36.341,1527.60478,-7.96
2024-06-19T15:57:36.578,1527.60492,-7.98
2024-06-19T15:57:36.833,1527.60487,-7.97
2024-06-19T15:57:37.055,1527.60470,-7.97
2024-06-19T15:57:37.297,1527.60463,-7.98
2024-06-19T15:57:37.543,1527.60450,-8.00
2024-06-19T15:57:37.773,1527.60426,-8.00
2024-06-19T15:57:38.019,1527.60448,-7.99
2024-06-19T15:57:38.250,1527.60466,-7.99
2024-06-19T15:57:38.512,1527.60479,-7.98
2024-06-19T15:57:38.737,1527.60496,-7.96
2024-06-19T15:57:38.979,1527.60485,-7.96
2024-06-19T15:57:39.238,1527.60529,-7.96
2024-06-19T15:57:39.503,1527.60485,-7.97
2024-06-19T15:57:39.728,1527.60475,-7.97
2024-06-19T15:57:39.969,1527.60429,-8.00
2024-06-19T15:57:40.217,1527.60427,-7.99
2024-06-19T15:57:40.452,1527.60439,-8.00
2024-06-19T15:57:40.693,1527.60449,-7.99
2024-06-19T15:57:40.929,1527.60418,-8.00
2024-06-19T15:57:41.184,1527.60457,-7.98
2024-06-19T15:57:41.407,1527.60477,-7.97
2024-06-19T15:57:41.656,1527.60467,-7.97
2024-06-19T15:57:41.895,1527.60462,-7.98
2024-06-19T15:57:42.150,1527.60454,-8.00
2024-06-19T15:57:42.379,1527.60452,-7.99
2024-06-19T15:57:42.634,1527.60463,-7.97
2024-06-19T15:57:42.882,1527.60471,-7.97
2024-06-19T15:57:43.119,1527.60459,-7.98
2024-06-19T15:57:43.366,1527.60405,-7.99
2024-06-19T15:57:43.608,1527.60427,-7.99
2024-06-19T15:57:43.856,1527.60452,-7.99
2024-06-19T15:57:44.084,1527.60445,-7.98
2024-06-19T15:57:44.330,1527.60488,-7.95
2024-06-19T15:57:44.562,1527.60459,-7.98
2024-06-19T15:57:44.821,1527.60459,-7.97
2024-06-19T15:57:45.040,1527.60469,-7.95
2024-06-19T15:57:45.282,1527.60476,-7.95
2024-06-19T15:57:45.528,1527.60479,-7.96
2024-06-19T15:57:45.741,1527.60427,-7.99
2024-06-19T15:57:45.991,1527.60450,-7.96
2024-06-19T15:57:46.231,1527.60448,-7.96
2024-06-19T15:57:46.479,1527.60469,-7.96
2024-06-19T15:57:46.699,1527.60451,-7.96
2024-06-19T15:57:46.938,1527.60198,-13.5
2024-06-19T15:57:47.209,1530.99128,-13.4
2024-06-19T15:57:47.482,1531.88435,-13.2
2024-06-19T15:57:47.716,1530.94086,-12.7
2024-06-19T15:57:47.991,1532.26789,-12.6
2024-06-19T15:57:48.244,1532.26648,-12.2
2024-06-19T15:57:48.523,1527.99200,-7.73
2024-06-19T15:57:48.791,1527.99380,-7.66
2024-06-19T15:57:49.024,1527.99333,-7.71
2024-06-19T15:57:49.265,1527.99279,-7.68
2024-06-19T15:57:49.512,1527.99279,-7.67
2024-06-19T15:57:49.737,1527.99248,-7.68
2024-06-19T15:57:49.986,1527.99267,-7.71
2024-06-19T15:57:50.215,1527.99250,-7.74
2024-06-19T15:57:50.478,1527.99228,-7.82
2024-06-19T15:57:50.702,1527.99249,-7.80
2024-06-19T15:57:50.947,1527.99278,-7.83
2024-06-19T15:57:51.189,1527.99282,-7.84
2024-06-19T15:57:51.435,1527.99309,-7.87
2024-06-19T15:57:51.667,1527.99371,-7.96
2024-06-19T15:57:51.907,1527.99375,-8.00
2024-06-19T15:57:52.151,1527.99368,-8.02
2024-06-19T15:57:52.364,1527.99364,-8.03
2024-06-19T15:57:52.609,1527.99366,-8.06
2024-06-19T15:57:52.855,1527.99354,-8.05
2024-06-19T15:57:53.128,1527.99388,-8.13
2024-06-19T15:57:53.353,1527.99365,-8.14
2024-06-19T15:57:53.594,1527.99320,-8.14
2024-06-19T15:57:53.840,1527.99354,-8.16
2024-06-19T15:57:54.095,1527.99365,-8.19
2024-06-19T15:57:54.343,1527.99349,-8.22
2024-06-19T15:57:54.588,1527.99324,-8.29
2024-06-19T15:57:54.835,1527.99318,-8.32
2024-06-19T15:57:55.063,1527.99362,-8.33
2024-06-19T15:57:55.313,1527.99359,-8.38
2024-06-19T15:57:55.546,1527.99360,-8.39
2024-06-19T15:57:55.796,1527.99372,-8.39
2024-06-19T15:57:56.022,1527.99341,-8.39
2024-06-19T15:57:56.275,1527.99368,-8.39
2024-06-19T15:57:56.512,1527.99359,-8.37
2024-06-19T15:57:56.769,1527.99346,-8.39
2024-06-19T15:57:56.995,1527.99172,-11.6
2024-06-19T15:57:57.235,1530.98814,-13.2
2024-06-19T15:57:57.482,1530.51957,-13.0
2024-06-19T15:57:57.744,1529.68234,-12.7
2024-06-19T15:57:58.009,1533.22358,-12.6
2024-06-19T15:57:58.274,1533.22270,-12.6
2024-06-19T15:57:58.538,1530.51544,-12.7
2024-06-19T15:57:58.820,1530.98078,-12.6
2024-06-19T15:57:59.088,1532.56187,-12.7
2024-06-19T15:57:59.344,1530.75557,-12.3
2024-06-19T15:57:59.619,1528.39793,-7.69
2024-06-19T15:57:59.876,1528.38960,-7.61
2024-06-19T15:58:00.133,1528.38443,-7.62
2024-06-19T15:58:00.362,1528.38405,-7.67
2024-06-19T15:58:00.610,1528.38277,-7.67
2024-06-19T15:58:00.841,1528.38281,-7.67
2024-06-19T15:58:01.097,1528.38306,-7.67
2024-06-19T15:58:01.322,1528.38237,-7.72
2024-06-19T15:58:01.566,1528.38228,-7.73
2024-06-19T15:58:01.811,1528.38227,-7.74
2024-06-19T15:58:02.046,1528.38265,-7.78
2024-06-19T15:58:02.289,1528.38252,-7.80
2024-06-19T15:58:02.527,1528.38288,-7.80
2024-06-19T15:58:02.781,1528.38280,-7.82
2024-06-19T15:58:03.006,1528.38312,-7.82
2024-06-19T15:58:03.269,1528.38365,-7.92
2024-06-19T15:58:03.511,1528.38363,-7.94
2024-06-19T15:58:03.770,1528.38418,-7.96
2024-06-19T15:58:03.994,1528.38343,-8.00
2024-06-19T15:58:04.237,1528.38365,-8.05
2024-06-19T15:58:04.479,1528.38408,-8.04
2024-06-19T15:58:04.732,1528.38394,-8.10
2024-06-19T15:58:04.961,1528.38340,-8.11
2024-06-19T15:58:05.202,1528.38379,-8.17
2024-06-19T15:58:05.450,1528.38406,-8.15
2024-06-19T15:58:05.679,1528.38382,-8.19
2024-06-19T15:58:05.925,1528.38391,-8.22
2024-06-19T15:58:06.157,1528.38411,-8.22
2024-06-19T15:58:06.417,1528.38389,-8.29
2024-06-19T15:58:06.638,1528.38380,-8.31
2024-06-19T15:58:06.879,1528.38354,-9.78
2024-06-19T15:58:07.125,1531.41708,-13.5
2024-06-19T15:58:07.363,1529.86318,-12.8
2024-06-19T15:58:07.605,1529.86266,-12.7
2024-06-19T15:58:07.835,1530.96927,-12.5
2024-06-19T15:58:08.098,1530.98144,-12.8
2024-06-19T15:58:08.325,1530.98060,-12.9
2024-06-19T15:58:08.600,1530.28914,-13.0
2024-06-19T15:58:08.856,1530.98125,-12.8
2024-06-19T15:58:09.136,1530.28972,-12.9
2024-06-19T15:58:09.426,1528.76998,-11.9
2024-06-19T15:58:09.686,1528.75727,-7.64
2024-06-19T15:58:09.933,1528.76082,-7.62
2024-06-19T15:58:10.168,1528.76343,-7.61
2024-06-19T15:58:10.429,1528.77033,-7.62
2024-06-19T15:58:10.655,1528.77521,-7.63
2024-06-19T15:58:10.903,1528.77659,-7.69
2024-06-19T15:58:11.136,1528.77661,-7.73
2024-06-19T15:58:11.392,1528.77644,-7.78
2024-06-19T15:58:11.617,1528.77597,-7.76
2024-06-19T15:58:11.861,1528.77525,-7.78
2024-06-19T15:58:12.107,1528.77500,-7.83
2024-06-19T15:58:12.339,1528.77484,-7.86
2024-06-19T15:58:12.589,1528.77579,-7.77
2024-06-19T15:58:12.827,1528.77529,-7.83
2024-06-19T15:58:13.082,1528.77512,-7.88
2024-06-19T15:58:13.306,1528.77435,-7.83
2024-06-19T15:58:13.564,1528.77349,-7.92
2024-06-19T15:58:13.811,1528.77348,-7.94
2024-06-19T15:58:14.070,1528.77358,-8.00
2024-06-19T15:58:14.293,1528.77347,-8.01
2024-06-19T15:58:14.538,1528.77362,-8.06
2024-06-19T15:58:14.779,1528.77374,-8.07
2024-06-19T15:58:15.034,1528.77399,-8.11
2024-06-19T15:58:15.261,1528.77384,-8.15
2024-06-19T15:58:15.502,1528.77390,-8.19
2024-06-19T15:58:15.748,1528.77396,-8.19
2024-06-19T15:58:15.978,1528.77392,-8.23
2024-06-19T15:58:16.225,1528.77393,-8.28
2024-06-19T15:58:16.452,1528.77442,-8.26
2024-06-19T15:58:16.710,1528.77421,-8.32
2024-06-19T15:58:16.937,1528.77393,-8.35
2024-06-19T15:58:17.178,1531.18439,-13.4
2024-06-19T15:58:17.447,1531.18377,-13.0
2024-06-19T15:58:17.725,1530.98177,-12.8
2024-06-19T15:58:17.978,1530.98157,-12.8
2024-06-19T15:58:18.251,1529.16921,-11.9
2024-06-19T15:58:18.507,1529.16459,-9.24
2024-06-19T15:58:18.761,1529.16419,-7.56
2024-06-19T15:58:18.993,1529.16400,-7.57
2024-06-19T15:58:19.243,1529.16280,-7.55
2024-06-19T15:58:19.482,1529.16287,-7.57
2024-06-19T15:58:19.730,1529.16300,-7.59
2024-06-19T15:58:19.957,1529.16270,-7.63
2024-06-19T15:58:20.204,1529.16265,-7.66
2024-06-19T15:58:20.439,1529.16277,-7.68
2024-06-19T15:58:20.696,1529.16267,-7.71
2024-06-19T15:58:20.922,1529.16262,-7.72
2024-06-19T15:58:21.163,1529.16321,-7.73
2024-06-19T15:58:21.411,1529.16303,-7.74
2024-06-19T15:58:21.642,1529.16325,-7.76
2024-06-19T15:58:21.890,1529.16395,-7.86
2024-06-19T15:58:22.131,1529.16362,-7.87
2024-06-19T15:58:22.384,1529.16372,-7.87
2024-06-19T15:58:22.611,1529.16366,-7.91
2024-06-19T15:58:22.852,1529.16385,-7.98
2024-06-19T15:58:23.088,1529.16401,-7.99
2024-06-19T15:58:23.343,1529.16400,-8.04
2024-06-19T15:58:23.566,1529.16379,-8.06
2024-06-19T15:58:23.810,1529.16434,-8.09
2024-06-19T15:58:24.076,1529.16413,-8.12
2024-06-19T15:58:24.345,1529.16373,-8.12
2024-06-19T15:58:24.579,1529.16387,-8.20
2024-06-19T15:58:24.819,1529.16365,-8.23
2024-06-19T15:58:25.067,1529.16373,-8.23
2024-06-19T15:58:25.302,1529.16360,-8.27
2024-06-19T15:58:25.544,1529.16346,-8.29
2024-06-19T15:58:25.784,1529.16358,-8.32
2024-06-19T15:58:26.035,1529.16379,-8.33
2024-06-19T15:58:26.260,1529.16357,-8.32
2024-06-19T15:58:26.508,1529.16376,-8.33
2024-06-19T15:58:26.745,1529.16396,-8.34
2024-06-19T15:58:27.003,1530.51650,-13.6
2024-06-19T15:58:27.230,1530.51594,-13.5
2024-06-19T15:58:27.471,1529.86411,-13.0
2024-06-19T15:58:27.738,1529.86390,-12.9
2024-06-19T15:58:28.010,1529.86397,-12.8
2024-06-19T15:58:28.267,1530.98154,-12.8
2024-06-19T15:58:28.537,1529.56965,-9.25
2024-06-19T15:58:28.791,1529.56620,-7.83
2024-06-19T15:58:29.045,1529.55392,-7.81
2024-06-19T15:58:29.276,1529.55441,-7.78
2024-06-19T15:58:29.524,1529.55298,-7.79
2024-06-19T15:58:29.754,1529.55298,-7.80
2024-06-19T15:58:30.012,1529.55238,-7.88
2024-06-19T15:58:30.236,1529.55209,-7.89
2024-06-19T15:58:30.480,1529.55245,-7.89
2024-06-19T15:58:30.723,1529.55244,-7.91
2024-06-19T15:58:30.980,1529.55271,-7.92
2024-06-19T15:58:31.207,1529.55206,-7.99
2024-06-19T15:58:31.447,1529.55218,-8.02
2024-06-19T15:58:31.695,1529.55245,-8.01
2024-06-19T15:58:31.924,1529.55251,-8.00
2024-06-19T15:58:32.167,1529.55276,-8.03
2024-06-19T15:58:32.399,1529.55314,-8.05
2024-06-19T15:58:32.656,1529.55309,-8.10
2024-06-19T15:58:32.877,1529.55327,-8.16
2024-06-19T15:58:33.117,1529.55305,-8.17
2024-06-19T15:58:33.362,1529.55321,-8.21
2024-06-19T15:58:33.593,1529.55351,-8.26
2024-06-19T15:58:33.840,1529.55385,-8.27
2024-06-19T15:58:34.071,1529.55356,-8.31
2024-06-19T15:58:34.351,1529.55318,-8.30
2024-06-19T15:58:34.580,1529.55321,-8.35
2024-06-19T15:58:34.821,1529.55366,-8.42
2024-06-19T15:58:35.056,1529.55316,-8.40
2024-06-19T15:58:35.315,1529.55373,-8.50
2024-06-19T15:58:35.537,1529.55341,-8.52
2024-06-19T15:58:35.782,1529.55366,-8.56
2024-06-19T15:58:36.028,1529.55376,-8.57
2024-06-19T15:58:36.273,1529.55372,-8.57
2024-06-19T15:58:36.510,1529.55317,-8.56
2024-06-19T15:58:36.750,1529.55319,-8.56
2024-06-19T15:58:36.989,1529.55281,-12.2
2024-06-19T15:58:37.213,1530.75140,-13.4
2024-06-19T15:58:37.461,1530.74965,-13.0
2024-06-19T15:58:37.699,1530.97367,-12.8
2024-06-19T15:58:37.978,1530.98182,-12.2
2024-06-19T15:58:38.224,1530.98158,-12.2
2024-06-19T15:58:38.498,1529.93773,-12.1
2024-06-19T15:58:38.755,1529.93368,-11.7
2024-06-19T15:58:39.029,1529.92639,-7.79
2024-06-19T15:58:39.323,1529.92909,-7.77
2024-06-19T15:58:39.557,1529.93536,-7.79
2024-06-19T15:58:39.806,1529.94237,-7.81
2024-06-19T15:58:40.037,1529.94567,-7.84
2024-06-19T15:58:40.297,1529.94630,-7.86
2024-06-19T15:58:40.520,1529.94576,-7.89
2024-06-19T15:58:40.761,1529.94560,-7.99
2024-06-19T15:58:41.006,1529.94558,-7.97
2024-06-19T15:58:41.240,1529.94494,-7.93
2024-06-19T15:58:41.483,1529.94455,-7.95
2024-06-19T15:58:41.720,1529.94446,-7.97
2024-06-19T15:58:41.975,1529.94449,-7.99
2024-06-19T15:58:42.193,1529.94433,-8.01
2024-06-19T15:58:42.437,1529.94347,-8.06
2024-06-19T15:58:42.680,1529.94344,-8.04
2024-06-19T15:58:42.934,1529.94311,-8.07
2024-06-19T15:58:43.163,1529.94292,-8.09
2024-06-19T15:58:43.404,1529.94277,-8.16
2024-06-19T15:58:43.653,1529.94253,-8.23
2024-06-19T15:58:43.883,1529.94211,-8.25
2024-06-19T15:58:44.129,1529.94234,-8.29
2024-06-19T15:58:44.361,1529.94278,-8.27
2024-06-19T15:58:44.631,1529.94298,-8.30
2024-06-19T15:58:44.866,1529.94335,-8.35
2024-06-19T15:58:45.116,1529.94293,-8.35
2024-06-19T15:58:45.350,1529.94295,-8.38
2024-06-19T15:58:45.611,1529.94314,-8.42
2024-06-19T15:58:45.834,1529.94280,-8.46
2024-06-19T15:58:46.077,1529.94292,-8.51
2024-06-19T15:58:46.324,1529.94301,-8.50
2024-06-19T15:58:46.567,1529.94319,-8.48
2024-06-19T15:58:46.806,1529.94292,-8.49
2024-06-19T15:58:47.046,1530.11079,-13.5
2024-06-19T15:58:47.297,1529.00012,-13.1
2024-06-19T15:58:47.521,1531.17654,-13.0
2024-06-19T15:58:47.805,1533.22393,-12.9
2024-06-19T15:58:48.062,1530.51947,-12.8
2024-06-19T15:58:48.343,1532.46936,-11.8
2024-06-19T15:58:48.618,1530.33254,-9.62
2024-06-19T15:58:48.877,1530.33353,-9.51
2024-06-19T15:58:49.125,1530.33250,-9.60
