Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-20T14:50:37.479,1527.60436,-5.88
2024-06-20T14:50:37.616,1527.60466,-5.89
2024-06-20T14:50:37.812,1527.60431,-5.87
2024-06-20T14:50:37.949,1527.60466,-5.90
2024-06-20T14:50:38.144,1527.60493,-5.94
2024-06-20T14:50:38.282,1527.60509,-5.95
2024-06-20T14:50:38.478,1527.60444,-5.89
2024-06-20T14:50:38.622,1527.60475,-5.93
2024-06-20T14:50:38.825,1527.60470,-5.93
2024-06-20T14:50:38.953,1527.60467,-5.94
2024-06-20T14:50:39.147,1527.60440,-5.93
2024-06-20T14:50:39.283,1527.60480,-5.95
2024-06-20T14:50:39.478,1527.60455,-5.94
2024-06-20T14:50:39.616,1527.60507,-5.94
2024-06-20T14:50:39.813,1527.60485,-5.95
2024-06-20T14:50:39.949,1527.60491,-5.93
2024-06-20T14:50:40.145,1527.60471,-5.98
2024-06-20T14:50:40.282,1527.60488,-5.95
2024-06-20T14:50:40.478,1527.60436,-5.93
2024-06-20T14:50:40.617,1527.60480,-5.95
2024-06-20T14:50:40.812,1527.60419,-5.88
2024-06-20T14:50:40.950,1527.60472,-5.94
2024-06-20T14:50:41.147,1527.60476,-5.97
2024-06-20T14:50:41.284,1527.60501,-5.96
2024-06-20T14:50:41.479,1527.60468,-5.97
2024-06-20T14:50:41.617,1527.60461,-5.97
2024-06-20T14:50:41.813,1527.60455,-5.93
2024-06-20T14:50:41.950,1527.60490,-5.97
2024-06-20T14:50:42.145,1527.60451,-5.94
2024-06-20T14:50:42.282,1527.60475,-5.97
2024-06-20T14:50:42.478,1527.60457,-5.94
2024-06-20T14:50:42.616,1527.60494,-5.96
2024-06-20T14:50:42.812,1527.60467,-6.03
2024-06-20T14:50:42.949,1527.60464,-5.97
2024-06-20T14:50:43.146,1527.60461,-5.95
2024-06-20T14:50:43.283,1527.60512,-5.94
2024-06-20T14:50:43.479,1527.60463,-5.96
