Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-13T14:11:37.557,1567.13165,-30.7
2024-06-13T14:11:37.787,1567.13232,-30.6
2024-06-13T14:11:38.042,1567.13203,-30.6
2024-06-13T14:11:38.268,1567.13134,-30.6
2024-06-13T14:11:38.528,1567.13199,-30.7
2024-06-13T14:11:38.758,1567.13166,-30.7
2024-06-13T14:11:39.016,1567.13201,-30.7
2024-06-13T14:11:39.240,1567.13174,-30.6
2024-06-13T14:11:39.495,1531.22307,-37.2
2024-06-13T14:11:39.754,1531.70946,-37.0
2024-06-13T14:11:39.998,1529.45415,-36.9
2024-06-13T14:11:40.242,1529.45371,-36.6
2024-06-13T14:11:40.497,1531.71535,-36.4
2024-06-13T14:11:40.735,1531.71390,-36.4
2024-06-13T14:11:41.011,1532.16863,-35.7
2024-06-13T14:11:41.260,1529.16811,-34.6
2024-06-13T14:11:41.517,1529.16550,-33.2
2024-06-13T14:11:41.776,1529.16450,-33.2
2024-06-13T14:11:42.032,1529.16418,-33.1
2024-06-13T14:11:42.276,1529.16390,-33.2
2024-06-13T14:11:42.534,1529.16328,-33.2
2024-06-13T14:11:42.768,1529.16316,-33.3
2024-06-13T14:11:43.019,1529.16326,-33.2
2024-06-13T14:11:43.244,1529.16298,-33.3
2024-06-13T14:11:43.500,1529.16330,-33.3
2024-06-13T14:11:43.735,1529.16316,-33.3
2024-06-13T14:11:43.991,1529.16290,-33.3
2024-06-13T14:11:44.212,1529.16309,-33.3
2024-06-13T14:11:44.462,1529.83877,-36.6
2024-06-13T14:11:44.707,1530.31090,-36.7
2024-06-13T14:11:44.979,1530.30987,-36.7
2024-06-13T14:11:45.225,1531.69866,-36.5
2024-06-13T14:11:45.483,1530.54265,-36.5
2024-06-13T14:11:45.717,1530.54828,-35.8
2024-06-13T14:11:45.972,1531.68904,-34.9
2024-06-13T14:11:46.217,1529.56942,-33.4
2024-06-13T14:11:46.523,1529.55455,-33.2
2024-06-13T14:11:46.759,1529.55444,-33.3
2024-06-13T14:11:47.010,1529.55404,-33.2
2024-06-13T14:11:47.240,1529.55301,-33.3
2024-06-13T14:11:47.498,1529.55270,-33.3
2024-06-13T14:11:47.733,1529.55245,-33.4
2024-06-13T14:11:47.986,1529.55244,-33.2
2024-06-13T14:11:48.203,1529.55184,-33.4
2024-06-13T14:11:48.459,1529.55211,-33.5
2024-06-13T14:11:48.697,1529.55222,-33.3
2024-06-13T14:11:48.951,1529.55231,-33.4
2024-06-13T14:11:49.176,1529.55248,-33.4
2024-06-13T14:11:49.427,1530.07564,-36.7
2024-06-13T14:11:49.675,1531.48231,-36.5
2024-06-13T14:11:49.911,1530.95430,-36.2
2024-06-13T14:11:50.151,1529.65894,-36.4
2024-06-13T14:11:50.413,1529.65870,-36.4
2024-06-13T14:11:50.682,1530.49845,-36.5
2024-06-13T14:11:50.955,1530.50114,-36.6
2024-06-13T14:11:51.187,1529.93655,-34.9
2024-06-13T14:11:51.461,1529.92771,-32.5
2024-06-13T14:11:51.719,1529.93060,-32.7
2024-06-13T14:11:51.975,1529.93346,-32.5
2024-06-13T14:11:52.201,1529.93680,-32.5
2024-06-13T14:11:52.482,1529.94600,-32.8
2024-06-13T14:11:52.721,1529.94604,-32.7
2024-06-13T14:11:52.967,1529.94605,-32.6
2024-06-13T14:11:53.187,1529.94578,-32.8
2024-06-13T14:11:53.446,1529.94613,-32.9
2024-06-13T14:11:53.680,1529.94512,-32.9
2024-06-13T14:11:53.935,1529.94503,-33.0
2024-06-13T14:11:54.158,1529.94455,-32.9
2024-06-13T14:11:54.405,1530.95459,-36.7
2024-06-13T14:11:54.653,1530.95438,-36.5
2024-06-13T14:11:54.889,1529.64482,-36.6
2024-06-13T14:11:55.151,1530.58854,-36.5
2024-06-13T14:11:55.427,1530.29756,-36.5
2024-06-13T14:11:55.701,1530.33773,-35.1
2024-06-13T14:11:55.969,1530.33384,-33.9
2024-06-13T14:11:56.239,1530.33353,-32.9
2024-06-13T14:11:56.475,1530.33350,-32.9
2024-06-13T14:11:56.705,1530.33318,-32.9
2024-06-13T14:11:56.965,1530.33244,-32.8
2024-06-13T14:11:57.195,1530.33249,-32.9
2024-06-13T14:11:57.437,1530.33226,-33.0
2024-06-13T14:11:57.667,1530.33221,-33.1
2024-06-13T14:11:57.936,1530.33265,-33.1
2024-06-13T14:11:58.158,1530.33260,-32.8
2024-06-13T14:11:58.400,1530.33254,-33.0
2024-06-13T14:11:58.642,1530.33278,-33.2
2024-06-13T14:11:58.905,1530.33289,-33.2
2024-06-13T14:11:59.129,1530.33357,-33.3
2024-06-13T14:11:59.364,1530.33345,-33.2
2024-06-13T14:11:59.614,1530.95450,-36.7
2024-06-13T14:11:59.843,1530.95557,-36.6
2024-06-13T14:12:00.099,1530.95455,-36.2
2024-06-13T14:12:00.331,1530.95435,-36.1
2024-06-13T14:12:00.590,1530.95491,-36.4
2024-06-13T14:12:00.839,1530.95444,-36.5
2024-06-13T14:12:01.118,1531.07194,-36.4
2024-06-13T14:12:01.410,1531.06849,-36.3
2024-06-13T14:12:01.644,1530.95458,-36.3
2024-06-13T14:12:01.918,1530.95469,-36.3
2024-06-13T14:12:02.163,1530.73474,-32.8
