Timestamp,Instrument Wavelength,Instrument Intensity,
2024-06-13T15:22:45.497,1527.60477,-34.2,
2024-06-13T15:22:45.693,1527.60454,-34.2,
2024-06-13T15:22:45.833,1527.60485,-34.2,
2024-06-13T15:22:46.029,1527.60454,-34.2,
2024-06-13T15:22:46.167,1527.60483,-34.3,
2024-06-13T15:22:46.363,1527.60472,-34.2,
2024-06-13T15:22:46.500,1527.6047,-34.2,
2024-06-13T15:22:46.695,1527.60441,-34.2,
2024-06-13T15:22:46.834,1527.60447,-34.2,
2024-06-13T15:22:47.030,1527.60451,-34.2,
2024-06-13T15:22:47.167,1527.60484,-34.2,
2024-06-13T15:22:47.363,1527.60498,-34.3,
2024-06-13T15:22:47.502,1527.60513,-34.3,
2024-06-13T15:22:47.697,1527.60477,-34.2,
2024-06-13T15:22:47.836,1527.6046,-34.2,
2024-06-13T15:22:48.031,1527.60441,-34.2,
2024-06-13T15:22:48.168,1527.6047,-34.2,
2024-06-13T15:22:48.364,1527.60479,-34.2,
2024-06-13T15:22:48.503,1527.60498,-34.3,
2024-06-13T15:22:48.830,1527.60517,-34.2,
2024-06-13T15:22:48.843,1527.605,-34.3,
2024-06-13T15:22:49.040,1527.60461,-34.1,
2024-06-13T15:22:49.169,1527.60487,-34.2,
2024-06-13T15:22:49.364,1527.60473,-34.2,
2024-06-13T15:22:49.503,1527.60485,-34.2,
2024-06-13T15:22:49.698,1527.60476,-34.3,
2024-06-13T15:22:49.836,1527.60473,-34.2,
2024-06-13T15:22:50.032,1527.60445,-34.2,
2024-06-13T15:22:50.170,1527.60456,-34.2,
2024-06-13T15:22:50.364,1527.6046,-34.2,
2024-06-13T15:22:50.503,1527.60496,-34.2,
2024-06-13T15:22:50.698,1527.60472,-34.2,
2024-06-13T15:22:50.837,1527.60496,-34.2,
2024-06-13T15:22:51.033,1527.60494,-34.3,
2024-06-13T15:22:51.170,1527.60496,-34.2,
2024-06-13T15:22:51.364,1527.60465,-34.2,
2024-06-13T15:22:51.509,1527.60464,-34.2,
2024-06-13T15:22:51.707,1527.60435,-34.2,
2024-06-13T15:22:51.838,1527.60461,-34.2,
2024-06-13T15:22:52.033,1527.60463,-34.2,
2024-06-13T15:22:52.170,1527.60454,-34.3,
2024-06-13T15:22:52.366,1527.60435,-34.2,
2024-06-13T15:22:52.506,1527.60462,-34.2,
2024-06-13T15:22:52.701,1527.60479,-34.2,
2024-06-13T15:22:52.972,1527.60525,-34.2,
2024-06-13T15:22:53.202,1527.60473,-34.2,
2024-06-13T15:22:53.460,1527.60451,-34.3,
2024-06-13T15:22:53.683,1527.6045,-34.2,
2024-06-13T15:22:53.919,1531.02578,-38.1,
2024-06-13T15:22:54.164,1530.96052,-38.1,
2024-06-13T15:22:54.402,1531.25291,-37.6,
2024-06-13T15:22:54.669,1530.62562,-37.6,
2024-06-13T15:22:54.942,1531.46947,-37.5,
2024-06-13T15:22:55.198,1530.56784,-37.5,
2024-06-13T15:22:55.486,1527.99324,-33.8,
2024-06-13T15:22:55.781,1527.99388,-33.8,
2024-06-13T15:22:56.005,1527.99331,-33.8,
2024-06-13T15:22:56.241,1527.99329,-33.9,
2024-06-13T15:22:56.499,1527.99241,-34.1,
2024-06-13T15:22:56.737,1527.99268,-33.9,
2024-06-13T15:22:56.978,1527.99244,-34,
2024-06-13T15:22:57.234,1527.99242,-34,
2024-06-13T15:22:57.477,1527.99221,-34,
2024-06-13T15:22:57.705,1527.99218,-34,
2024-06-13T15:22:57.938,1527.99226,-34,
2024-06-13T15:22:58.180,1527.99248,-34.1,
2024-06-13T15:22:58.447,1527.99296,-34.1,
2024-06-13T15:22:58.691,1527.99337,-34.1,
2024-06-13T15:22:58.906,1527.99335,-34.1,
2024-06-13T15:22:59.156,1530.08353,-37.9,
2024-06-13T15:22:59.402,1530.49669,-37.6,
2024-06-13T15:22:59.647,1530.51735,-37.5,
2024-06-13T15:22:59.886,1530.55851,-37.4,
2024-06-13T15:23:00.135,1530.55838,-37.4,
2024-06-13T15:23:00.359,1529.84629,-37.6,
2024-06-13T15:23:00.644,1529.44604,-37.3,
2024-06-13T15:23:00.901,1529.44598,-37.4,
2024-06-13T15:23:01.147,1529.44603,-37.3,
2024-06-13T15:23:01.392,1530.96201,-37.3,
2024-06-13T15:23:01.689,1529.8462,-37.5,
2024-06-13T15:23:01.964,1529.84696,-37.5,
2024-06-13T15:23:02.223,1529.84702,-37.5,
2024-06-13T15:23:02.472,1529.84666,-37.5,
2024-06-13T15:23:02.721,1528.39871,-34.8,
2024-06-13T15:23:02.962,1528.38712,-34.7,
2024-06-13T15:23:03.209,1528.38365,-34.6,
2024-06-13T15:23:03.470,1528.38326,-34.7,
2024-06-13T15:23:03.696,1528.38338,-34.8,
2024-06-13T15:23:03.938,1528.38339,-34.7,
2024-06-13T15:23:04.176,1529.86892,-37.5,
2024-06-13T15:23:04.462,1530.72972,-37.5,
2024-06-13T15:23:04.718,1529.84719,-37.6,
2024-06-13T15:23:04.982,1530.72952,-37.8,
2024-06-13T15:23:05.242,1530.72924,-37.8,
2024-06-13T15:23:05.504,1530.73027,-37.8,
2024-06-13T15:23:05.740,1529.84664,-37.7,
2024-06-13T15:23:06.007,1530.72994,-37.8,
2024-06-13T15:23:06.276,1530.72992,-37.8,
2024-06-13T15:23:06.512,1530.72918,-37.7,
2024-06-13T15:23:06.785,1530.55838,-37.6,
2024-06-13T15:23:07.042,1530.35088,-37.6,
2024-06-13T15:23:07.329,1530.90303,-36.1,
2024-06-13T15:23:07.579,1528.75869,-35.6,
2024-06-13T15:23:07.849,1528.75657,-34.6,
2024-06-13T15:23:08.083,1528.75771,-34.6,
2024-06-13T15:23:08.343,1528.76729,-34.5,
2024-06-13T15:23:08.575,1528.77083,-34.6,
2024-06-13T15:23:08.827,1528.77541,-34.6,
2024-06-13T15:23:09.055,1528.77696,-34.5,
2024-06-13T15:23:09.306,1529.84282,-37.6,
2024-06-13T15:23:09.560,1529.84242,-37.6,
2024-06-13T15:23:09.851,1529.84206,-37.5,
2024-06-13T15:23:10.088,1529.84241,-37.6,
2024-06-13T15:23:10.327,1529.16668,-35.9,
2024-06-13T15:23:10.601,1529.1643,-34.1,
2024-06-13T15:23:10.878,1529.16432,-34.1,
2024-06-13T15:23:11.130,1529.16361,-34.2,
2024-06-13T15:23:11.361,1529.16307,-34.1,
2024-06-13T15:23:11.619,1529.16222,-33.9,
2024-06-13T15:23:11.857,1529.16255,-34,
2024-06-13T15:23:12.115,1529.16259,-34,
2024-06-13T15:23:12.442,1529.16222,-34.08935393,
2024-06-13T15:23:12.608,1529.16283,-34.225082,
2024-06-13T15:23:12.851,1529.16258,-34.2136079,
2024-06-13T15:23:13.091,1529.16277,-34.2136079,
2024-06-13T15:23:13.329,1529.16279,-34.225082,
2024-06-13T15:23:13.579,1529.16286,-34.28291168,
2024-06-13T15:23:13.829,1529.16302,-34.34152181,
2024-06-13T15:23:14.062,1529.5238,-37.74690718,
2024-06-13T15:23:14.301,1531.70996,-37.54487332,
2024-06-13T15:23:14.537,1531.01676,-37.49579998,
2024-06-13T15:23:14.807,1529.84257,-37.54487332,
2024-06-13T15:23:15.034,1529.84225,-37.56961951,
2024-06-13T15:23:15.270,1529.84306,-37.25842151,
2024-06-13T15:23:15.541,1529.55427,-35.81698709,
2024-06-13T15:23:15.823,1529.55368,-34.02304814,
2024-06-13T15:23:16.077,1529.55489,-34.2945706,
2024-06-13T15:23:16.319,1529.55414,-34.19075024,
2024-06-13T15:23:16.552,1529.55337,-34.04503778,
2024-06-13T15:23:16.822,1529.55261,-34.27128398,
2024-06-13T15:23:17.050,1529.55258,-34.32973634,
2024-06-13T15:23:17.281,1529.55219,-34.25968732,
2024-06-13T15:23:17.528,1529.55209,-34.25968732,
2024-06-13T15:23:17.792,1529.55157,-34.43697499,
2024-06-13T15:23:18.018,1529.55196,-34.46116973,
2024-06-13T15:23:18.251,1529.5521,-34.44905551,
2024-06-13T15:23:18.505,1529.55231,-34.42492798,
2024-06-13T15:23:18.732,1529.55216,-34.49771647,
2024-06-13T15:23:18.993,1529.84287,-37.77283529,
2024-06-13T15:23:19.224,1529.84382,-37.6700389,
2024-06-13T15:23:19.503,1530.96306,-37.6700389,
2024-06-13T15:23:19.754,1530.96315,-37.23538196,
2024-06-13T15:23:20.014,1530.96356,-37.64471553,
2024-06-13T15:23:20.242,1529.88256,-37.30487056,
2024-06-13T15:23:20.498,1529.88285,-37.28158393,
2024-06-13T15:23:20.723,1529.93388,-35.81698709,
2024-06-13T15:23:21.006,1529.92828,-34.84126156,
2024-06-13T15:23:21.262,1529.93123,-34.98940738,
2024-06-13T15:23:21.514,1529.93425,-34.85452247,
2024-06-13T15:23:21.743,1529.93782,-34.98940738,
2024-06-13T15:23:22.003,1529.94614,-34.93494968,
2024-06-13T15:23:22.235,1529.94619,-34.73660723,
2024-06-13T15:23:22.502,1529.94629,-34.8148606,
2024-06-13T15:23:22.744,1529.94592,-35.03070352,
2024-06-13T15:23:23.002,1529.94558,-35.03070352,
2024-06-13T15:23:23.231,1529.94514,-35.03070352,
2024-06-13T15:23:23.490,1529.94524,-35.00312917,
2024-06-13T15:23:23.714,1529.94478,-35.04455662,
2024-06-13T15:23:23.974,1530.3121,-37.82516056,
2024-06-13T15:23:24.212,1530.29763,-37.64471553,
2024-06-13T15:23:24.467,1530.96291,-37.49579998,
2024-06-13T15:23:24.715,1529.84364,-37.64471553,
2024-06-13T15:23:25.003,1530.30974,-37.56961951,
2024-06-13T15:23:25.259,1530.33506,-35.95166283,
2024-06-13T15:23:25.534,1530.33328,-36.03800653,
2024-06-13T15:23:25.826,1530.33287,-36.10833916,
2024-06-13T15:23:26.073,1530.33319,-36.10833916,
2024-06-13T15:23:26.312,1530.33291,-36.09064893,
2024-06-13T15:23:26.550,1530.33283,-36.00326279,
2024-06-13T15:23:26.817,1530.33247,-36.16184634,
2024-06-13T15:23:27.046,1530.33231,-36.16184634,
2024-06-13T15:23:27.280,1530.33195,-36.23423043,
2024-06-13T15:23:27.531,1530.33187,-36.17982957,
2024-06-13T15:23:27.796,1530.33231,-36.28932138,
2024-06-13T15:23:28.029,1530.33273,-36.25251654,
2024-06-13T15:23:28.262,1530.33278,-36.10833916,
2024-06-13T15:23:28.515,1530.33277,-36.17982957,
2024-06-13T15:23:28.737,1530.33273,-36.16184634,
2024-06-13T15:23:28.997,1530.58066,-37.93174124,
2024-06-13T15:23:29.250,1530.31141,-37.69551079,
2024-06-13T15:23:29.525,1530.55995,-37.42321425,
2024-06-13T15:23:29.795,1530.6289,-37.6700389,
2024-06-13T15:23:30.041,1530.55919,-37.6700389,
2024-06-13T15:23:30.273,1530.56002,-37.61953897,
2024-06-13T15:23:30.524,1530.35188,-37.52026734,
2024-06-13T15:23:30.806,1530.56017,-37.69551079,
2024-06-13T15:23:31.058,1530.08481,-37.69551079,
2024-06-13T15:23:31.293,1530.55678,-36.71620397,
2024-06-13T15:23:31.560,1530.7434,-35.81698709,
2024-06-13T15:23:31.845,1530.72398,-35.60667306,
2024-06-13T15:23:32.102,1530.72524,-35.5129368,
2024-06-13T15:23:32.342,1530.72553,-35.57520231,
2024-06-13T15:23:32.574,1530.72511,-35.67030709,
2024-06-13T15:23:32.858,1530.72333,-35.5129368,
2024-06-13T15:23:33.101,1530.72333,-35.57520231,
2024-06-13T15:23:33.338,1530.72363,-35.68636236,
2024-06-13T15:23:33.571,1530.72382,-35.67030709,
2024-06-13T15:23:33.844,1530.723,-35.95166283,
2024-06-13T15:23:34.073,1529.88344,-37.85156152,
2024-06-13T15:23:34.338,1529.88524,-37.61953897,
2024-06-13T15:23:34.597,1530.28789,-37.72113295,
2024-06-13T15:23:34.877,1530.28947,-37.6700389,
2024-06-13T15:23:35.154,1530.29045,-37.61953897,
2024-06-13T15:23:35.377,1530.34972,-37.52026734,
2024-06-13T15:23:35.634,1530.30127,-37.69551079,
2024-06-13T15:23:35.877,1530.29198,-37.6700389,
2024-06-13T15:23:36.128,1530.35062,-37.69551079,
2024-06-13T15:23:36.358,1531.11063,-35.88380294,
2024-06-13T15:23:36.629,1531.10143,-34.225082,
2024-06-13T15:23:36.893,1531.10423,-34.2136079,
2024-06-13T15:23:37.149,1531.10697,-34.1453927,
2024-06-13T15:23:37.374,1531.11082,-34.20216403,
2024-06-13T15:23:37.628,1531.11938,-34.0560745,
2024-06-13T15:23:37.872,1531.11883,-34.00116928,
2024-06-13T15:23:38.109,1531.11874,-34.07823243,
2024-06-13T15:23:38.352,1531.11861,-34.10050399,
2024-06-13T15:23:38.596,1531.11785,-34.15668776,
2024-06-13T15:23:38.846,1531.11808,-34.1453927,
2024-06-13T15:23:39.075,1531.11745,-34.867824,
2024-06-13T15:23:39.324,1530.07207,-37.54487332,
2024-06-13T15:23:39.562,1530.30366,-37.54487332,
2024-06-13T15:23:39.848,1530.30604,-37.82516056,
2024-06-13T15:23:40.105,1530.30683,-37.74690718,
2024-06-13T15:23:40.347,1531.5104,-36.00326279,
2024-06-13T15:23:40.616,1531.50839,-35.24328812,
2024-06-13T15:23:40.907,1531.50657,-34.35333936,
2024-06-13T15:23:41.186,1531.50625,-34.3062609,
2024-06-13T15:23:41.406,1531.50582,-34.3062609,
2024-06-13T15:23:41.665,1531.50509,-34.37707136,
2024-06-13T15:23:41.899,1531.50523,-34.38898616,
2024-06-13T15:23:42.155,1531.50516,-34.41291429,
2024-06-13T15:23:42.377,1531.50529,-34.44905551,
2024-06-13T15:23:42.628,1531.50515,-34.47331784,
2024-06-13T15:23:42.875,1531.50499,-34.49771647,
2024-06-13T15:23:43.125,1531.50531,-34.50996738,
2024-06-13T15:23:43.375,1531.50541,-34.52225295,
2024-06-13T15:23:43.626,1531.50621,-34.58420756,
2024-06-13T15:23:43.874,1531.50598,-35.48213564,
2024-06-13T15:23:44.109,1530.96351,-37.6700389,
2024-06-13T15:23:44.374,1530.96392,-37.79891912,
2024-06-13T15:23:44.640,1530.30593,-37.77283529,
2024-06-13T15:23:44.884,1530.30634,-37.59450752,
2024-06-13T15:23:45.132,1530.30615,-37.59450752,
2024-06-13T15:23:45.369,1529.65929,-37.1219827,
2024-06-13T15:23:45.647,1531.9064,-34.76253533,
2024-06-13T15:23:45.905,1531.89834,-34.67245621,
2024-06-13T15:23:46.164,1531.89946,-34.54692884,
2024-06-13T15:23:46.387,1531.89938,-34.48550002,
2024-06-13T15:23:46.634,1531.89755,-34.53457337,
2024-06-13T15:23:46.876,1531.89731,-34.55931956,
2024-06-13T15:23:47.146,1531.89679,-34.67245621,
2024-06-13T15:23:47.371,1531.89712,-34.60923901,
2024-06-13T15:23:47.607,1531.8967,-34.73660723,
2024-06-13T15:23:47.854,1531.89697,-34.69800302,
2024-06-13T15:23:48.087,1531.89687,-34.67245621,
2024-06-13T15:23:48.343,1531.89673,-34.68521083,
2024-06-13T15:23:48.575,1531.8968,-34.69800302,
2024-06-13T15:23:48.833,1531.89652,-34.85452247,
2024-06-13T15:23:49.060,1531.89665,-35.00312917,
2024-06-13T15:23:49.317,1529.85003,-37.69551079,
2024-06-13T15:23:49.576,1529.84426,-37.59450752,
2024-06-13T15:23:49.832,1530.28965,-37.59450752,
2024-06-13T15:23:50.083,1530.71583,-37.52026734,
2024-06-13T15:23:50.361,1528.9867,-36.40164518,
2024-06-13T15:23:50.619,1532.27616,-35.7024772,
2024-06-13T15:23:50.867,1532.27316,-36.02059991,
2024-06-13T15:23:51.103,1532.27415,-35.9345982,
2024-06-13T15:23:51.360,1532.28193,-35.85026652,
2024-06-13T15:23:51.595,1532.28535,-35.86700236,
2024-06-13T15:23:51.845,1532.2896,-35.73488739,
2024-06-13T15:23:52.074,1532.292,-35.73488739,
2024-06-13T15:23:52.334,1532.29152,-35.65431096,
2024-06-13T15:23:52.569,1532.29137,-35.62249437,
