Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-20T15:59:17.775,1527.60453,-11.7
2024-06-20T15:59:17.890,1527.60455,-11.7
2024-06-20T15:59:18.086,1527.60429,-11.7
2024-06-20T15:59:18.221,1527.60491,-11.6
2024-06-20T15:59:18.418,1527.60496,-11.6
2024-06-20T15:59:18.553,1527.60487,-11.7
2024-06-20T15:59:18.749,1527.60489,-11.6
2024-06-20T15:59:18.886,1527.60512,-11.7
2024-06-20T15:59:19.084,1527.60495,-11.6
2024-06-20T15:59:19.218,1527.60520,-11.6
2024-06-20T15:59:19.414,1527.60449,-11.7
2024-06-20T15:59:19.550,1527.60508,-11.6
2024-06-20T15:59:19.746,1527.60467,-11.7
2024-06-20T15:59:19.883,1527.60491,-11.6
2024-06-20T15:59:20.078,1527.60466,-11.6
2024-06-20T15:59:20.213,1527.60466,-11.7
2024-06-20T15:59:20.420,1527.60468,-11.6
2024-06-20T15:59:20.549,1527.60498,-11.6
2024-06-20T15:59:20.743,1527.60495,-11.6
2024-06-20T15:59:20.878,1527.60519,-11.6
2024-06-20T15:59:21.076,1527.60449,-11.6
2024-06-20T15:59:21.210,1527.60489,-11.6
2024-06-20T15:59:21.407,1527.60469,-11.6
2024-06-20T15:59:21.542,1527.60509,-11.7
2024-06-20T15:59:21.738,1527.60448,-11.6
2024-06-20T15:59:21.875,1527.60431,-11.7
2024-06-20T15:59:22.071,1527.60432,-11.7
2024-06-20T15:59:22.207,1527.60460,-11.6
2024-06-20T15:59:22.405,1527.60476,-11.6
2024-06-20T15:59:22.545,1527.60505,-11.6
2024-06-20T15:59:22.745,1527.60496,-11.7
2024-06-20T15:59:22.875,1527.60530,-11.7
2024-06-20T15:59:23.070,1527.60482,-11.6
2024-06-20T15:59:23.203,1527.60487,-11.6
2024-06-20T15:59:23.401,1527.60477,-11.6
2024-06-20T15:59:23.536,1527.60502,-11.6
2024-06-20T15:59:23.730,1527.60479,-11.6
2024-06-20T15:59:23.869,1527.60499,-11.6
2024-06-20T15:59:24.065,1527.60505,-11.6
2024-06-20T15:59:24.201,1527.60515,-11.7
2024-06-20T15:59:24.397,1527.60477,-11.6
2024-06-20T15:59:24.532,1527.60459,-11.6
2024-06-20T15:59:24.727,1527.60460,-11.6
2024-06-20T15:59:24.865,1527.60489,-11.6
2024-06-20T15:59:25.060,1527.60456,-11.6
2024-06-20T15:59:25.197,1527.60493,-11.6
2024-06-20T15:59:25.393,1527.60446,-11.6
2024-06-20T15:59:25.529,1527.60502,-11.6
2024-06-20T15:59:25.726,1527.60452,-11.6
2024-06-20T15:59:25.860,1527.60487,-11.7
2024-06-20T15:59:26.055,1527.60435,-11.7
2024-06-20T15:59:26.193,1527.60435,-11.7
2024-06-20T15:59:26.389,1527.60417,-11.7
2024-06-20T15:59:26.524,1527.60452,-11.6
2024-06-20T15:59:26.720,1527.60488,-11.6
2024-06-20T15:59:26.857,1527.60528,-11.6
2024-06-20T15:59:27.052,1527.60516,-11.6
2024-06-20T15:59:27.190,1527.60518,-11.6
2024-06-20T15:59:27.386,1527.60459,-11.6
2024-06-20T15:59:27.521,1527.60440,-11.7
2024-06-20T15:59:27.717,1527.60399,-11.7
2024-06-20T15:59:27.853,1527.60432,-11.7
2024-06-20T15:59:28.049,1527.60413,-11.7
2024-06-20T15:59:28.187,1527.60461,-11.7
2024-06-20T15:59:28.383,1527.60431,-11.7
2024-06-20T15:59:28.519,1527.60486,-11.7
2024-06-20T15:59:28.713,1527.60476,-11.6
2024-06-20T15:59:28.849,1527.60513,-11.6
2024-06-20T15:59:29.046,1527.60467,-11.6
2024-06-20T15:59:29.183,1527.60492,-11.6
2024-06-20T15:59:29.379,1527.60488,-11.6
2024-06-20T15:59:29.515,1527.60517,-11.6
2024-06-20T15:59:29.710,1527.60415,-11.7
2024-06-20T15:59:29.847,1527.60478,-11.7
2024-06-20T15:59:30.042,1527.60451,-11.7
2024-06-20T15:59:30.182,1527.60205,-19.4
2024-06-20T15:59:30.378,1528.78439,-19.4
2024-06-20T15:59:30.514,1528.78461,-19.2
2024-06-20T15:59:30.711,1531.17847,-19.0
2024-06-20T15:59:30.849,1528.58750,-19.1
2024-06-20T15:59:31.052,1531.82271,-19.0
2024-06-20T15:59:31.199,1531.82338,-18.7
2024-06-20T15:59:31.382,1531.82080,-18.1
2024-06-20T15:59:31.514,1527.99554,-17.7
2024-06-20T15:59:31.709,1527.99269,-11.3
2024-06-20T15:59:31.843,1527.99407,-11.2
2024-06-20T15:59:32.037,1527.99353,-11.2
2024-06-20T15:59:32.175,1527.99345,-11.2
2024-06-20T15:59:32.372,1527.99294,-11.2
2024-06-20T15:59:32.506,1527.99300,-11.2
2024-06-20T15:59:32.702,1527.99269,-11.2
2024-06-20T15:59:32.844,1527.99274,-11.2
2024-06-20T15:59:33.049,1527.99252,-11.3
2024-06-20T15:59:33.175,1527.99285,-11.3
2024-06-20T15:59:33.369,1527.99249,-11.3
2024-06-20T15:59:33.504,1527.99253,-11.3
2024-06-20T15:59:33.701,1527.99262,-11.3
2024-06-20T15:59:33.836,1527.99294,-11.3
2024-06-20T15:59:34.032,1527.99268,-11.3
2024-06-20T15:59:34.169,1527.99272,-11.4
2024-06-20T15:59:34.367,1527.99266,-11.4
2024-06-20T15:59:34.501,1527.99305,-11.4
2024-06-20T15:59:34.698,1527.99280,-11.4
2024-06-20T15:59:34.833,1527.99319,-11.4
2024-06-20T15:59:35.030,1527.99331,-11.4
2024-06-20T15:59:35.168,1527.99411,-11.5
2024-06-20T15:59:35.372,1527.99323,-11.5
2024-06-20T15:59:35.505,1527.99340,-11.5
2024-06-20T15:59:35.700,1527.99328,-11.5
2024-06-20T15:59:35.944,1527.99327,-11.5
2024-06-20T15:59:36.041,1527.99314,-11.5
2024-06-20T15:59:36.173,1527.99356,-11.6
2024-06-20T15:59:36.359,1527.99359,-11.7
2024-06-20T15:59:36.497,1527.99378,-11.7
2024-06-20T15:59:36.691,1527.99377,-11.7
