Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-13T13:49:04.799,1529.16205,4.02E-04
2024-06-13T13:49:05.048,1529.16329,4.18E-04
2024-06-13T13:49:05.275,1529.16418,4.11E-04
2024-06-13T13:49:05.514,1529.16447,4.20E-04
2024-06-13T13:49:05.748,1529.16378,4.24E-04
2024-06-13T13:49:06.012,1529.16341,4.08E-04
2024-06-13T13:49:06.235,1529.16338,4.07E-04
2024-06-13T13:49:06.462,1529.16297,3.98E-04
2024-06-13T13:49:06.709,1529.16284,4.01E-04
2024-06-13T13:49:06.933,1529.16269,3.99E-04
2024-06-13T13:49:07.178,1529.16324,4.10E-04
2024-06-13T13:49:07.415,1529.16327,3.92E-04
2024-06-13T13:49:07.680,1529.16288,3.93E-04
2024-06-13T13:49:07.904,1530.793,1.40E-04
2024-06-13T13:49:08.152,1529.31127,1.45E-04
2024-06-13T13:49:08.416,1529.31063,1.53E-04
2024-06-13T13:49:08.688,1531.71061,1.55E-04
2024-06-13T13:49:08.954,1531.70232,1.57E-04
2024-06-13T13:49:09.193,1531.70237,1.63E-04
2024-06-13T13:49:09.431,1529.55819,2.08E-04
2024-06-13T13:49:09.728,1529.55383,4.13E-04
2024-06-13T13:49:09.996,1529.55456,4.15E-04
2024-06-13T13:49:10.221,1529.55428,4.11E-04
2024-06-13T13:49:10.462,1529.55246,4.20E-04
2024-06-13T13:49:10.708,1529.55262,4.06E-04
2024-06-13T13:49:10.935,1529.55255,4.16E-04
2024-06-13T13:49:11.174,1529.55182,4.25E-04
2024-06-13T13:49:11.411,1529.5519,3.98E-04
2024-06-13T13:49:11.673,1529.55213,4.10E-04
2024-06-13T13:49:11.896,1529.55199,4.08E-04
2024-06-13T13:49:12.131,1529.55148,4.04E-04
2024-06-13T13:49:12.378,1529.55189,4.03E-04
2024-06-13T13:49:12.602,1529.55184,3.84E-04
2024-06-13T13:49:12.859,1530.07396,1.43E-04
2024-06-13T13:49:13.087,1530.54347,1.48E-04
2024-06-13T13:49:13.339,1532.32817,1.52E-04
2024-06-13T13:49:13.583,1530.61737,1.50E-04
2024-06-13T13:49:13.864,1530.61817,1.47E-04
2024-06-13T13:49:14.092,1530.61804,1.52E-04
2024-06-13T13:49:14.346,1531.22462,1.57E-04
2024-06-13T13:49:14.570,1529.93671,2.07E-04
2024-06-13T13:49:14.844,1529.92874,3.40E-04
2024-06-13T13:49:15.096,1529.93184,3.42E-04
2024-06-13T13:49:15.353,1529.93456,3.51E-04
2024-06-13T13:49:15.576,1529.93808,3.48E-04
2024-06-13T13:49:15.829,1529.94616,3.40E-04
2024-06-13T13:49:16.064,1529.94569,3.41E-04
2024-06-13T13:49:16.319,1529.94607,3.47E-04
2024-06-13T13:49:16.552,1529.94601,3.50E-04
2024-06-13T13:49:16.798,1529.94527,3.48E-04
2024-06-13T13:49:17.046,1529.94448,3.51E-04
2024-06-13T13:49:17.277,1529.94458,3.49E-04
2024-06-13T13:49:17.516,1529.94422,3.22E-04
2024-06-13T13:49:17.746,1529.94484,3.34E-04
2024-06-13T13:49:18.013,1530.61795,1.41E-04
2024-06-13T13:49:18.235,1530.61844,1.46E-04
2024-06-13T13:49:18.469,1530.61756,1.50E-04
2024-06-13T13:49:18.738,1531.22453,1.54E-04
2024-06-13T13:49:19.026,1530.33714,2.02E-04
2024-06-13T13:49:19.272,1530.33256,3.70E-04
2024-06-13T13:49:19.536,1530.33376,3.80E-04
2024-06-13T13:49:19.779,1530.33356,3.83E-04
2024-06-13T13:49:20.049,1530.33239,3.84E-04
2024-06-13T13:49:20.280,1530.33238,3.90E-04
