Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-19T14:33:56.801,1527.60452,-10.2
2024-06-19T14:33:56.996,1527.60493,-10.1
2024-06-19T14:33:57.221,1527.60479,-10.2
2024-06-19T14:33:57.462,1527.60487,-10.1
2024-06-19T14:33:57.714,1527.60547,-10.1
2024-06-19T14:33:57.959,1527.60500,-10.2
2024-06-19T14:33:58.208,1527.60453,-10.3
2024-06-19T14:33:58.437,1527.60494,-10.1
2024-06-19T14:33:58.696,1527.60462,-10.1
2024-06-19T14:33:58.923,1527.60447,-10.2
2024-06-19T14:33:59.167,1527.60450,-10.2
2024-06-19T14:33:59.398,1527.60502,-10.2
2024-06-19T14:33:59.657,1527.60517,-10.1
2024-06-19T14:33:59.885,1527.60468,-10.2
2024-06-19T14:34:00.126,1527.60425,-9.97
2024-06-19T14:34:00.373,1527.60465,-10.2
2024-06-19T14:34:00.624,1527.60478,-10.1
2024-06-19T14:34:00.856,1527.60468,-10.2
2024-06-19T14:34:01.097,1527.60479,-10.1
2024-06-19T14:34:01.347,1527.60519,-10.2
2024-06-19T14:34:01.572,1527.60481,-10.2
2024-06-19T14:34:01.822,1527.60425,-9.92
2024-06-19T14:34:02.058,1527.60446,-10.1
2024-06-19T14:34:02.321,1527.60478,-10.1
2024-06-19T14:34:02.547,1527.60492,-10.2
2024-06-19T14:34:02.791,1527.60488,-10.2
2024-06-19T14:34:03.029,1527.60488,-10.0
2024-06-19T14:34:03.268,1527.60471,-10.1
2024-06-19T14:34:03.510,1527.60454,-10.1
2024-06-19T14:34:03.752,1527.60501,-10.1
2024-06-19T14:34:04.002,1527.60496,-10.1
2024-06-19T14:34:04.225,1527.60449,-10.1
2024-06-19T14:34:04.473,1527.60449,-10.2
2024-06-19T14:34:04.702,1527.60476,-10.1
2024-06-19T14:34:04.962,1527.60490,-9.93
2024-06-19T14:34:05.185,1527.60482,-10.0
2024-06-19T14:34:05.427,1527.60479,-10.2
2024-06-19T14:34:05.671,1527.60488,-10.1
2024-06-19T14:34:05.903,1527.60474,-10.2
2024-06-19T14:34:06.153,1527.60483,-10.2
2024-06-19T14:34:06.384,1527.60460,-10.2
2024-06-19T14:34:06.645,1527.60463,-10.1
2024-06-19T14:34:06.874,1527.60486,-10.1
2024-06-19T14:34:07.114,1527.60446,-10.2
2024-06-19T14:34:07.354,1527.60461,-10.1
2024-06-19T14:34:07.611,1527.60466,-10.2
2024-06-19T14:34:07.839,1527.60492,-10.0
