Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-19T14:52:58.861,1527.60450,-9.87
2024-06-19T14:52:59.096,1527.60455,-9.81
2024-06-19T14:52:59.326,1527.60464,-9.95
2024-06-19T14:52:59.583,1527.60491,-9.83
2024-06-19T14:52:59.808,1527.60425,-9.86
2024-06-19T14:53:00.057,1527.60428,-9.91
2024-06-19T14:53:00.293,1527.60457,-9.93
2024-06-19T14:53:00.552,1527.60495,-9.96
2024-06-19T14:53:00.778,1527.60508,-9.90
2024-06-19T14:53:01.023,1527.60470,-9.91
2024-06-19T14:53:01.267,1527.60455,-9.98
2024-06-19T14:53:01.499,1527.60477,-9.96
2024-06-19T14:53:01.748,1527.60449,-9.87
2024-06-19T14:53:01.988,1527.60440,-9.96
2024-06-19T14:53:02.241,1527.60468,-9.91
2024-06-19T14:53:02.465,1527.60482,-9.97
2024-06-19T14:53:02.716,1527.60447,-9.99
2024-06-19T14:53:02.952,1527.60491,-9.91
2024-06-19T14:53:03.211,1527.60482,-10.0
2024-06-19T14:53:03.439,1527.60440,-10.1
2024-06-19T14:53:03.682,1527.60490,-10.4
2024-06-19T14:53:03.927,1527.60482,-10.1
2024-06-19T14:53:04.174,1527.60515,-10.3
2024-06-19T14:53:04.408,1527.60559,-10.1
2024-06-19T14:53:04.648,1527.60482,-10.1
2024-06-19T14:53:04.900,1527.60475,-9.95
2024-06-19T14:53:05.137,1527.60460,-9.99
2024-06-19T14:53:05.404,1527.60513,-10.0
2024-06-19T14:53:05.635,1527.60520,-10.0
2024-06-19T14:53:05.895,1527.60487,-10.1
2024-06-19T14:53:06.124,1527.60497,-10.2
2024-06-19T14:53:06.374,1527.60452,-10.2
2024-06-19T14:53:06.607,1527.60468,-10.2
2024-06-19T14:53:06.867,1527.60486,-10.7
2024-06-19T14:53:07.093,1527.60456,-10.3
2024-06-19T14:53:07.341,1527.60469,-11.0
2024-06-19T14:53:07.603,1527.60495,-10.3
2024-06-19T14:53:07.885,1527.60483,-10.2
2024-06-19T14:53:08.109,1527.60497,-10.3
2024-06-19T14:53:08.361,1527.60463,-10.3
2024-06-19T14:53:08.594,1527.60494,-10.2
2024-06-19T14:53:08.853,1527.60474,-10.0
2024-06-19T14:53:09.082,1527.60435,-10.4
2024-06-19T14:53:09.353,1527.60478,-10.1
2024-06-19T14:53:09.586,1527.60504,-10.1
2024-06-19T14:53:09.847,1527.60563,-16.0
2024-06-19T14:53:10.097,1527.60517,-10.4
2024-06-19T14:53:10.369,1527.60506,-10.2
2024-06-19T14:53:10.602,1527.60480,-10.4
2024-06-19T14:53:10.865,1527.60423,-10.3
2024-06-19T14:53:11.093,1527.60413,-10.7
2024-06-19T14:53:11.342,1527.60414,-11.2
2024-06-19T14:53:11.598,1527.60471,-11.5
2024-06-19T14:53:11.857,1527.60483,-10.4
2024-06-19T14:53:12.109,1527.60448,-10.6
2024-06-19T14:53:12.360,1527.60282,-14.3
2024-06-19T14:53:12.595,1529.92109,-17.5
2024-06-19T14:53:12.869,1530.08482,-17.2
2024-06-19T14:53:13.139,1529.87804,-16.9
2024-06-19T14:53:13.396,1531.89052,-16.7
2024-06-19T14:53:13.662,1531.14999,-16.4
2024-06-19T14:53:13.929,1527.99197,-11.7
2024-06-19T14:53:14.204,1527.99392,-11.7
2024-06-19T14:53:14.452,1527.99341,-11.7
2024-06-19T14:53:14.687,1527.99277,-11.6
2024-06-19T14:53:14.927,1527.99280,-11.6
2024-06-19T14:53:15.171,1527.99242,-11.5
2024-06-19T14:53:15.404,1527.99313,-11.9
2024-06-19T14:53:15.671,1527.99279,-11.7
2024-06-19T14:53:15.929,1527.99295,-11.4
2024-06-19T14:53:16.204,1527.99280,-11.7
2024-06-19T14:53:16.456,1527.99245,-11.9
2024-06-19T14:53:16.692,1527.99256,-11.8
2024-06-19T14:53:16.935,1527.99280,-11.8
2024-06-19T14:53:17.181,1527.99326,-11.7
2024-06-19T14:53:17.434,1527.99353,-12.0
2024-06-19T14:53:17.661,1527.99349,-13.2
2024-06-19T14:53:17.919,1527.99344,-12.0
2024-06-19T14:53:18.186,1527.99381,-11.9
2024-06-19T14:53:18.429,1527.99367,-11.7
2024-06-19T14:53:18.668,1527.99370,-12.2
2024-06-19T14:53:18.906,1527.99282,-11.8
2024-06-19T14:53:19.154,1527.99314,-13.5
2024-06-19T14:53:19.384,1527.99323,-12.7
2024-06-19T14:53:19.636,1527.99332,-12.6
2024-06-19T14:53:19.865,1527.99339,-12.1
2024-06-19T14:53:20.130,1527.99384,-13.2
2024-06-19T14:53:20.382,1527.99360,-12.5
2024-06-19T14:53:20.654,1527.99283,-12.4
2024-06-19T14:53:20.888,1527.99362,-13.3
2024-06-19T14:53:21.162,1527.99342,-12.5
2024-06-19T14:53:21.436,1527.99307,-12.7
2024-06-19T14:53:21.666,1527.99388,-12.4
2024-06-19T14:53:21.908,1527.99413,-13.0
2024-06-19T14:53:22.173,1527.99386,-12.2
2024-06-19T14:53:22.452,1531.46311,-18.6
2024-06-19T14:53:22.707,1530.08830,-17.5
2024-06-19T14:53:22.956,1530.08581,-16.7
2024-06-19T14:53:23.214,1530.08420,-16.9
2024-06-19T14:53:23.489,1530.05958,-17.2
2024-06-19T14:53:23.756,1530.06179,-16.7
2024-06-19T14:53:24.018,1529.84296,-18.3
2024-06-19T14:53:24.316,1530.95898,-16.6
2024-06-19T14:53:24.582,1530.96004,-17.1
2024-06-19T14:53:24.849,1531.54099,-15.9
2024-06-19T14:53:25.126,1528.39849,-17.1
2024-06-19T14:53:25.394,1528.38618,-16.2
2024-06-19T14:53:25.648,1528.38427,-16.2
2024-06-19T14:53:25.922,1528.38318,-16.0
2024-06-19T14:53:26.155,1528.38323,-16.4
2024-06-19T14:53:26.414,1528.38332,-16.2
2024-06-19T14:53:26.638,1528.38262,-16.2
2024-06-19T14:53:26.915,1528.38239,-16.1
2024-06-19T14:53:27.171,1528.38260,-16.2
2024-06-19T14:53:27.445,1528.38282,-17.5
2024-06-19T14:53:27.714,1528.38281,-16.4
2024-06-19T14:53:27.965,1528.38257,-16.3
2024-06-19T14:53:28.215,1528.38285,-16.3
2024-06-19T14:53:28.472,1528.38349,-16.7
2024-06-19T14:53:28.755,1528.38381,-16.2
2024-06-19T14:53:29.023,1528.38332,-17.3
2024-06-19T14:53:29.281,1528.38406,-16.3
2024-06-19T14:53:29.516,1528.38365,-17.5
2024-06-19T14:53:29.788,1528.38407,-16.5
2024-06-19T14:53:30.069,1528.38307,-17.3
2024-06-19T14:53:30.319,1528.38381,-16.8
2024-06-19T14:53:30.593,1528.38391,-16.6
2024-06-19T14:53:30.829,1528.38408,-16.8
2024-06-19T14:53:31.077,1528.38383,-16.7
2024-06-19T14:53:31.309,1528.38375,-16.7
2024-06-19T14:53:31.556,1528.38366,-17.0
2024-06-19T14:53:31.783,1528.38404,-16.8
2024-06-19T14:53:32.042,1528.38413,-17.2
2024-06-19T14:53:32.268,1528.38375,-16.8
2024-06-19T14:53:32.511,1531.71236,-17.3
2024-06-19T14:53:32.776,1530.30692,-17.0
2024-06-19T14:53:33.055,1530.33837,-16.8
2024-06-19T14:53:33.310,1530.31228,-17.4
2024-06-19T14:53:33.582,1530.62327,-17.2
2024-06-19T14:53:33.843,1531.49339,-17.0
2024-06-19T14:53:34.110,1531.89266,-16.7
2024-06-19T14:53:34.387,1531.89485,-16.4
2024-06-19T14:53:34.661,1529.64295,-16.5
2024-06-19T14:53:34.919,1528.75790,-15.9
2024-06-19T14:53:35.183,1528.75689,-15.7
2024-06-19T14:53:35.445,1528.76161,-15.1
2024-06-19T14:53:35.728,1528.76856,-15.3
2024-06-19T14:53:35.961,1528.77288,-16.0
2024-06-19T14:53:36.250,1528.77648,-16.2
2024-06-19T14:53:36.523,1528.77678,-15.4
2024-06-19T14:53:36.789,1528.77598,-15.8
2024-06-19T14:53:37.064,1528.77622,-16.2
2024-06-19T14:53:37.301,1528.77626,-15.3
2024-06-19T14:53:37.570,1528.77516,-15.6
2024-06-19T14:53:37.844,1528.77469,-15.8
2024-06-19T14:53:38.077,1528.77467,-15.2
2024-06-19T14:53:38.354,1528.77534,-15.4
2024-06-19T14:53:38.583,1528.77523,-16.3
2024-06-19T14:53:38.856,1528.77459,-15.6
2024-06-19T14:53:39.118,1528.77522,-15.3
2024-06-19T14:53:39.413,1528.77426,-15.9
2024-06-19T14:53:39.689,1528.77319,-15.4
2024-06-19T14:53:39.963,1528.77332,-15.6
2024-06-19T14:53:40.200,1528.77424,-15.8
2024-06-19T14:53:40.459,1528.77382,-15.3
2024-06-19T14:53:40.730,1528.77368,-15.3
2024-06-19T14:53:40.985,1528.77454,-16.2
2024-06-19T14:53:41.244,1528.77457,-16.8
2024-06-19T14:53:41.520,1528.77419,-16.9
2024-06-19T14:53:41.754,1528.77399,-15.5
2024-06-19T14:53:42.027,1528.77484,-16.1
2024-06-19T14:53:42.273,1528.77429,-15.7
2024-06-19T14:53:42.512,1530.62378,-17.5
