Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-19T15:12:53.854,1567.13174,-42.9
2024-06-19T15:12:54.108,1567.13203,-42.8
2024-06-19T15:12:54.393,1567.13224,-42.7
2024-06-19T15:12:54.669,1567.13213,-42.8
2024-06-19T15:12:54.925,1567.13194,-42.7
2024-06-19T15:12:55.158,1567.13202,-42.7
2024-06-19T15:12:55.433,1567.13196,-42.4
2024-06-19T15:12:55.685,1567.13175,-41.8
2024-06-19T15:12:55.961,1567.13205,-32.9
2024-06-19T15:12:56.229,1530.29475,-17.5
2024-06-19T15:12:56.489,1532.33075,-17.2
2024-06-19T15:12:56.766,1530.08854,-16.8
2024-06-19T15:12:57.020,1530.08242,-16.6
2024-06-19T15:12:57.296,1529.92694,-16.7
2024-06-19T15:12:57.568,1529.92385,-16.2
2024-06-19T15:12:57.825,1529.84359,-15.9
2024-06-19T15:12:58.101,1527.58542,-9.18
2024-06-19T15:12:58.356,1527.58666,-9.09
2024-06-19T15:12:58.610,1527.59179,-9.09
2024-06-19T15:12:58.844,1527.59582,-9.11
2024-06-19T15:12:59.096,1527.60253,-9.15
2024-06-19T15:12:59.334,1527.60763,-9.16
2024-06-19T15:12:59.585,1527.60777,-9.15
2024-06-19T15:12:59.811,1527.60755,-9.21
2024-06-19T15:13:00.060,1527.60731,-9.22
2024-06-19T15:13:00.295,1527.60745,-9.29
2024-06-19T15:13:00.556,1527.60655,-9.28
2024-06-19T15:13:00.781,1527.60598,-9.30
2024-06-19T15:13:01.023,1527.60581,-9.38
2024-06-19T15:13:01.268,1527.60614,-9.33
2024-06-19T15:13:01.513,1527.60594,-9.41
2024-06-19T15:13:01.748,1527.60534,-9.44
2024-06-19T15:13:01.989,1527.60439,-9.42
2024-06-19T15:13:02.237,1527.60454,-9.44
2024-06-19T15:13:02.463,1527.60456,-9.47
2024-06-19T15:13:02.712,1527.60403,-9.55
2024-06-19T15:13:02.949,1527.60395,-9.57
2024-06-19T15:13:03.207,1527.60421,-9.63
2024-06-19T15:13:03.433,1527.60381,-9.65
2024-06-19T15:13:03.674,1527.60449,-9.65
2024-06-19T15:13:03.922,1527.60474,-9.66
2024-06-19T15:13:04.154,1527.60455,-9.70
2024-06-19T15:13:04.404,1527.60473,-9.72
2024-06-19T15:13:04.663,1527.60455,-9.77
2024-06-19T15:13:04.914,1527.60483,-9.78
2024-06-19T15:13:05.145,1527.60483,-9.82
2024-06-19T15:13:05.391,1527.60488,-9.85
2024-06-19T15:13:05.623,1527.60526,-9.90
2024-06-19T15:13:05.885,1527.60511,-9.86
2024-06-19T15:13:06.111,1529.42778,-17.2
2024-06-19T15:13:06.390,1532.45483,-17.1
2024-06-19T15:13:06.645,1530.62036,-17.2
2024-06-19T15:13:06.920,1529.83755,-16.6
2024-06-19T15:13:07.193,1529.84752,-16.5
2024-06-19T15:13:07.453,1527.99234,-12.8
2024-06-19T15:13:07.725,1527.99374,-11.5
2024-06-19T15:13:07.961,1527.99358,-11.5
2024-06-19T15:13:08.215,1527.99329,-11.5
2024-06-19T15:13:08.438,1527.99296,-11.5
2024-06-19T15:13:08.689,1527.99251,-11.5
2024-06-19T15:13:08.919,1527.99261,-11.5
2024-06-19T15:13:09.192,1527.99286,-11.5
2024-06-19T15:13:09.432,1527.99286,-11.5
2024-06-19T15:13:09.671,1527.99289,-11.6
2024-06-19T15:13:09.903,1527.99320,-11.6
