Timestamp,Instrument Wavelength,Instrument Intensity
2024-06-20T16:33:05.908,1527.60486,-18.7
2024-06-20T16:33:06.043,1527.60502,-18.7
2024-06-20T16:33:06.237,1527.60453,-18.7
2024-06-20T16:33:06.374,1527.60480,-18.7
2024-06-20T16:33:06.570,1527.60481,-18.7
2024-06-20T16:33:06.705,1527.60488,-18.7
2024-06-20T16:33:06.902,1527.60492,-18.7
2024-06-20T16:33:07.037,1527.60526,-18.7
2024-06-20T16:33:07.233,1527.60475,-18.7
2024-06-20T16:33:07.369,1527.60510,-18.7
2024-06-20T16:33:07.564,1527.60439,-18.7
2024-06-20T16:33:07.701,1527.60461,-18.7
2024-06-20T16:33:07.896,1527.60447,-18.7
2024-06-20T16:33:08.032,1527.60508,-18.7
2024-06-20T16:33:08.227,1527.60480,-18.7
2024-06-20T16:33:08.364,1527.60495,-18.7
2024-06-20T16:33:08.561,1527.60491,-18.7
2024-06-20T16:33:08.696,1527.60538,-18.6
2024-06-20T16:33:08.892,1527.60473,-18.7
2024-06-20T16:33:09.028,1527.60485,-18.7
2024-06-20T16:33:09.224,1527.60447,-18.7
2024-06-20T16:33:09.360,1527.60504,-18.7
2024-06-20T16:33:09.565,1527.60461,-18.7
2024-06-20T16:33:09.698,1527.60464,-18.7
2024-06-20T16:33:09.897,1527.60468,-18.7
2024-06-20T16:33:10.029,1527.60471,-18.7
2024-06-20T16:33:10.225,1527.60449,-18.7
2024-06-20T16:33:10.357,1527.60486,-18.7
2024-06-20T16:33:10.553,1527.60463,-18.7
2024-06-20T16:33:10.687,1527.60487,-18.7
2024-06-20T16:33:10.908,1527.60457,-18.7
2024-06-20T16:33:11.019,1527.60472,-18.7
2024-06-20T16:33:11.215,1527.60473,-18.6
2024-06-20T16:33:11.352,1527.60509,-18.6
2024-06-20T16:33:11.548,1527.60459,-18.6
2024-06-20T16:33:11.683,1527.60489,-18.6
2024-06-20T16:33:11.882,1527.60483,-18.6
2024-06-20T16:33:12.016,1527.60477,-18.6
2024-06-20T16:33:12.211,1527.60434,-18.7
2024-06-20T16:33:12.348,1527.60497,-18.6
2024-06-20T16:33:12.546,1527.60470,-18.6
2024-06-20T16:33:12.680,1527.60510,-18.6
2024-06-20T16:33:12.890,1527.60475,-18.6
2024-06-20T16:33:13.011,1527.60495,-18.6
2024-06-20T16:33:13.207,1527.60461,-18.6
2024-06-20T16:33:13.343,1527.60486,-18.6
2024-06-20T16:33:13.538,1527.60426,-18.7
2024-06-20T16:33:13.675,1527.60454,-18.7
2024-06-20T16:33:13.873,1527.60435,-18.7
2024-06-20T16:33:14.007,1527.60499,-18.6
2024-06-20T16:33:14.202,1527.60439,-18.6
2024-06-20T16:33:14.338,1527.60520,-18.6
2024-06-20T16:33:14.535,1527.60479,-18.6
2024-06-20T16:33:14.670,1527.60468,-18.6
2024-06-20T16:33:14.868,1527.60450,-18.6
2024-06-20T16:33:15.003,1527.60509,-18.6
2024-06-20T16:33:15.198,1527.60490,-18.6
2024-06-20T16:33:15.332,1527.60527,-18.6
2024-06-20T16:33:15.528,1527.60492,-18.6
2024-06-20T16:33:15.665,1527.60525,-18.6
2024-06-20T16:33:15.861,1527.60467,-18.6
2024-06-20T16:33:15.996,1527.60507,-18.6
2024-06-20T16:33:16.191,1527.60494,-18.6
2024-06-20T16:33:16.327,1527.60504,-18.6
2024-06-20T16:33:16.525,1527.60462,-18.6
2024-06-20T16:33:16.661,1527.60482,-18.6
2024-06-20T16:33:16.857,1527.60448,-18.6
2024-06-20T16:33:16.991,1527.60474,-18.6
2024-06-20T16:33:17.189,1527.60471,-18.6
2024-06-20T16:33:17.323,1527.60482,-18.6
2024-06-20T16:33:17.519,1527.60466,-18.6
2024-06-20T16:33:17.656,1527.60499,-18.6
2024-06-20T16:33:17.854,1527.60463,-18.6
2024-06-20T16:33:17.988,1527.60464,-18.6
2024-06-20T16:33:18.184,1527.60452,-18.6
2024-06-20T16:33:18.319,1527.60490,-18.6
2024-06-20T16:33:18.516,1527.60447,-18.6
2024-06-20T16:33:18.651,1527.60448,-18.6
2024-06-20T16:33:18.847,1527.60476,-18.6
2024-06-20T16:33:18.984,1527.60498,-18.6
2024-06-20T16:33:19.181,1527.60483,-18.6
2024-06-20T16:33:19.314,1527.60490,-18.6
2024-06-20T16:33:19.510,1527.60489,-18.6
2024-06-20T16:33:19.647,1527.60487,-18.6
2024-06-20T16:33:19.843,1527.60459,-18.6
2024-06-20T16:33:19.979,1527.60486,-18.6
2024-06-20T16:33:20.183,1527.60474,-18.6
2024-06-20T16:33:20.318,1527.60497,-18.6
2024-06-20T16:33:20.522,1527.60471,-18.6
2024-06-20T16:33:20.651,1527.60505,-18.6
2024-06-20T16:33:20.844,1527.60488,-18.6
2024-06-20T16:33:20.978,1527.60515,-18.6
2024-06-20T16:33:21.173,1527.60459,-18.7
2024-06-20T16:33:21.307,1527.60462,-18.7
2024-06-20T16:33:21.502,1527.60451,-18.7
2024-06-20T16:33:21.638,1527.60486,-18.7
2024-06-20T16:33:21.834,1527.60461,-18.7
2024-06-20T16:33:21.970,1527.60502,-18.7
2024-06-20T16:33:22.166,1527.60446,-18.7
2024-06-20T16:33:22.302,1527.60472,-18.7
2024-06-20T16:33:22.498,1527.60451,-18.7
2024-06-20T16:33:22.633,1527.60489,-18.7
2024-06-20T16:33:22.829,1527.60481,-18.7
2024-06-20T16:33:22.966,1527.60496,-18.7
2024-06-20T16:33:23.162,1527.60451,-18.7
2024-06-20T16:33:23.295,1527.60509,-18.7
2024-06-20T16:33:23.491,1527.60513,-18.7
2024-06-20T16:33:23.628,1527.60497,-18.7
2024-06-20T16:33:23.825,1527.60503,-18.7
2024-06-20T16:33:23.960,1527.60497,-18.7
2024-06-20T16:33:24.156,1527.60471,-18.6
2024-06-20T16:33:24.291,1527.60495,-18.7
2024-06-20T16:33:24.489,1527.60458,-18.6
2024-06-20T16:33:24.624,1527.60475,-18.6
2024-06-20T16:33:24.819,1527.60511,-18.7
2024-06-20T16:33:24.956,1527.60536,-18.7
2024-06-20T16:33:25.153,1527.60499,-18.6
2024-06-20T16:33:25.287,1530.97347,-26.4
2024-06-20T16:33:25.484,1530.97561,-26.1
2024-06-20T16:33:25.622,1530.09134,-26.0
2024-06-20T16:33:25.821,1530.97151,-25.4
2024-06-20T16:33:25.956,1530.97038,-24.9
2024-06-20T16:33:26.157,1530.97031,-25.3
2024-06-20T16:33:26.291,1530.09532,-25.2
2024-06-20T16:33:26.484,1530.07309,-24.7
2024-06-20T16:33:26.620,1527.99261,-22.5
2024-06-20T16:33:26.813,1527.99372,-21.3
2024-06-20T16:33:26.949,1527.99472,-21.2
2024-06-20T16:33:27.145,1527.99391,-21.2
2024-06-20T16:33:27.278,1527.99356,-21.1
2024-06-20T16:33:27.473,1527.99314,-21.2
2024-06-20T16:33:27.608,1527.99298,-21.3
2024-06-20T16:33:27.803,1527.99261,-21.3
2024-06-20T16:33:27.940,1527.99271,-21.3
2024-06-20T16:33:28.134,1527.99248,-21.3
2024-06-20T16:33:28.272,1527.99260,-21.3
2024-06-20T16:33:28.469,1527.99243,-21.3
2024-06-20T16:33:28.603,1527.99288,-21.4
2024-06-20T16:33:28.798,1527.99260,-21.4
2024-06-20T16:33:28.935,1527.99287,-21.5
2024-06-20T16:33:29.130,1527.99285,-21.5
2024-06-20T16:33:29.267,1527.99298,-21.5
2024-06-20T16:33:29.463,1527.99256,-21.4
2024-06-20T16:33:29.599,1527.99289,-21.5
2024-06-20T16:33:29.794,1527.99305,-21.6
2024-06-20T16:33:29.929,1527.99344,-21.7
2024-06-20T16:33:30.124,1527.99292,-21.6
2024-06-20T16:33:30.262,1527.99338,-21.7
2024-06-20T16:33:30.459,1527.99287,-21.7
2024-06-20T16:33:30.592,1527.99344,-21.8
2024-06-20T16:33:30.799,1527.99390,-21.7
2024-06-20T16:33:30.928,1527.99398,-21.7
2024-06-20T16:33:31.124,1527.99378,-21.7
2024-06-20T16:33:31.258,1527.99400,-21.8
2024-06-20T16:33:31.454,1527.99369,-21.9
2024-06-20T16:33:31.588,1527.99411,-21.9
2024-06-20T16:33:31.786,1527.99377,-21.9
2024-06-20T16:33:31.921,1527.99395,-21.9
2024-06-20T16:33:32.117,1527.99343,-22.0
2024-06-20T16:33:32.253,1527.99385,-22.0
2024-06-20T16:33:32.450,1527.99357,-22.1
2024-06-20T16:33:32.585,1527.99367,-22.1
2024-06-20T16:33:32.781,1527.99350,-22.1
2024-06-20T16:33:32.916,1527.99343,-22.1
2024-06-20T16:33:33.113,1527.99343,-22.2
2024-06-20T16:33:33.249,1527.99372,-22.2
2024-06-20T16:33:33.445,1527.99361,-22.3
2024-06-20T16:33:33.580,1527.99385,-22.3
2024-06-20T16:33:33.777,1527.99353,-22.3
2024-06-20T16:33:33.912,1527.99398,-22.3
2024-06-20T16:33:34.107,1527.99388,-22.3
2024-06-20T16:33:34.244,1527.99422,-22.2
2024-06-20T16:33:34.440,1527.99340,-22.3
2024-06-20T16:33:34.577,1527.99368,-22.2
2024-06-20T16:33:34.772,1527.99323,-22.2
2024-06-20T16:33:34.908,1527.99373,-22.3
2024-06-20T16:33:35.104,1527.99384,-22.3
2024-06-20T16:33:35.244,1527.99133,-26.0
2024-06-20T16:33:35.450,1531.26092,-26.2
2024-06-20T16:33:35.585,1530.15890,-26.1
2024-06-20T16:33:35.776,1530.98851,-25.8
2024-06-20T16:33:35.907,1531.00554,-25.7
2024-06-20T16:33:36.104,1531.60975,-25.6
2024-06-20T16:33:36.243,1530.25480,-25.6
2024-06-20T16:33:36.436,1530.27384,-25.7
2024-06-20T16:33:36.572,1530.26230,-25.6
2024-06-20T16:33:36.774,1530.96829,-25.3
2024-06-20T16:33:36.905,1530.96845,-25.3
2024-06-20T16:33:37.101,1530.96895,-25.5
2024-06-20T16:33:37.233,1530.96863,-25.3
2024-06-20T16:33:37.431,1530.96812,-25.2
2024-06-20T16:33:37.565,1530.07521,-24.7
2024-06-20T16:33:37.763,1528.39998,-25.0
2024-06-20T16:33:37.895,1528.39588,-25.2
2024-06-20T16:33:38.089,1528.38469,-25.4
2024-06-20T16:33:38.224,1528.38407,-25.4
2024-06-20T16:33:38.420,1528.38477,-25.5
2024-06-20T16:33:38.557,1528.38439,-25.4
2024-06-20T16:33:38.753,1528.38291,-25.5
2024-06-20T16:33:38.890,1528.38308,-25.4
2024-06-20T16:33:39.087,1528.38306,-25.5
2024-06-20T16:33:39.221,1528.38296,-25.4
2024-06-20T16:33:39.415,1528.38245,-25.6
2024-06-20T16:33:39.553,1528.38281,-25.6
2024-06-20T16:33:39.749,1528.38240,-25.6
2024-06-20T16:33:39.884,1528.38291,-25.5
2024-06-20T16:33:40.081,1528.38292,-25.6
2024-06-20T16:33:40.216,1528.38269,-25.7
2024-06-20T16:33:40.412,1528.38244,-25.9
2024-06-20T16:33:40.548,1528.38272,-25.9
2024-06-20T16:33:40.743,1528.38271,-25.8
2024-06-20T16:33:40.880,1528.38302,-25.8
2024-06-20T16:33:41.083,1528.38275,-25.9
2024-06-20T16:33:41.216,1528.38274,-26.0
2024-06-20T16:33:41.411,1528.38331,-25.8
2024-06-20T16:33:41.545,1528.38409,-26.0
2024-06-20T16:33:41.741,1528.38370,-26.0
2024-06-20T16:33:41.875,1528.38395,-26.0
2024-06-20T16:33:42.071,1528.38372,-26.0
2024-06-20T16:33:42.204,1528.38381,-26.0
2024-06-20T16:33:42.400,1528.38371,-26.1
2024-06-20T16:33:42.535,1528.38445,-26.1
2024-06-20T16:33:42.732,1528.38402,-26.1
2024-06-20T16:33:42.868,1528.38402,-26.2
2024-06-20T16:33:43.065,1528.38399,-26.2
2024-06-20T16:33:43.199,1528.38418,-26.3
2024-06-20T16:33:43.395,1528.38367,-26.2
2024-06-20T16:33:43.531,1528.38439,-26.3
2024-06-20T16:33:43.727,1528.38389,-26.3
2024-06-20T16:33:43.864,1528.38413,-26.3
2024-06-20T16:33:44.059,1528.38398,-26.4
2024-06-20T16:33:44.195,1528.38433,-26.5
2024-06-20T16:33:44.391,1528.38380,-26.4
2024-06-20T16:33:44.526,1528.38404,-26.5
2024-06-20T16:33:44.722,1528.38388,-26.5
2024-06-20T16:33:44.860,1528.38370,-26.4
2024-06-20T16:33:45.057,1528.38376,-26.4
2024-06-20T16:33:45.191,1528.38390,-26.4
2024-06-20T16:33:45.388,1531.25410,-26.3
2024-06-20T16:33:45.527,1532.06829,-26.0
2024-06-20T16:33:45.724,1531.48114,-25.8
2024-06-20T16:33:45.860,1529.88389,-25.7
2024-06-20T16:33:46.056,1529.85566,-25.7
2024-06-20T16:33:46.189,1530.10123,-26.1
2024-06-20T16:33:46.386,1530.09996,-25.9
2024-06-20T16:33:46.521,1530.10227,-25.8
2024-06-20T16:33:46.720,1530.32090,-25.6
2024-06-20T16:33:46.856,1530.10207,-24.7
2024-06-20T16:33:47.060,1531.19045,-25.1
2024-06-20T16:33:47.190,1530.10173,-24.9
2024-06-20T16:33:47.388,1530.10203,-24.8
2024-06-20T16:33:47.520,1530.09992,-24.7
2024-06-20T16:33:47.713,1528.78177,-24.2
2024-06-20T16:33:47.847,1528.75762,-18.7
2024-06-20T16:33:48.043,1528.75864,-18.7
2024-06-20T16:33:48.178,1528.76096,-18.7
2024-06-20T16:33:48.375,1528.76436,-18.6
2024-06-20T16:33:48.508,1528.76732,-18.6
2024-06-20T16:33:48.702,1528.77050,-18.5
2024-06-20T16:33:48.838,1528.77551,-18.5
2024-06-20T16:33:49.034,1528.77659,-18.5
2024-06-20T16:33:49.169,1528.77679,-18.5
2024-06-20T16:33:49.366,1528.77629,-18.5
2024-06-20T16:33:49.500,1528.77686,-18.5
2024-06-20T16:33:49.697,1528.77648,-18.5
2024-06-20T16:33:49.832,1528.77690,-18.6
2024-06-20T16:33:50.027,1528.77662,-18.6
2024-06-20T16:33:50.164,1528.77655,-18.6
2024-06-20T16:33:50.368,1528.77582,-18.7
2024-06-20T16:33:50.502,1528.77565,-18.7
2024-06-20T16:33:50.696,1528.77543,-18.7
2024-06-20T16:33:50.829,1528.77594,-18.7
2024-06-20T16:33:51.024,1528.77573,-18.7
2024-06-20T16:33:51.159,1528.77575,-18.7
2024-06-20T16:33:51.361,1528.77520,-18.7
2024-06-20T16:33:51.496,1528.77543,-18.7
2024-06-20T16:33:51.693,1528.77429,-18.8
2024-06-20T16:33:51.824,1528.77421,-18.7
2024-06-20T16:33:52.018,1528.77397,-18.8
2024-06-20T16:33:52.155,1528.77419,-18.8
2024-06-20T16:33:52.351,1528.77368,-18.8
2024-06-20T16:33:52.485,1528.77386,-18.8
2024-06-20T16:33:52.683,1528.77387,-18.8
2024-06-20T16:33:52.817,1528.77408,-18.9
2024-06-20T16:33:53.013,1528.77402,-18.9
2024-06-20T16:33:53.150,1528.77420,-18.9
2024-06-20T16:33:53.345,1528.77370,-18.9
2024-06-20T16:33:53.480,1528.77437,-18.9
2024-06-20T16:33:53.677,1528.77410,-19.0
2024-06-20T16:33:53.812,1528.77422,-19.0
2024-06-20T16:33:54.007,1528.77378,-19.0
2024-06-20T16:33:54.145,1528.77454,-19.1
2024-06-20T16:33:54.340,1528.77423,-19.1
2024-06-20T16:33:54.477,1528.77463,-19.1
2024-06-20T16:33:54.673,1528.77414,-19.1
2024-06-20T16:33:54.808,1528.77448,-19.1
2024-06-20T16:33:55.004,1528.77431,-19.2
2024-06-20T16:33:55.140,1528.77434,-19.2
2024-06-20T16:33:55.336,1531.14413,-26.3
