Time,Wavelength,Power
2024-06-13T15:22:45.497,1527.60477,-34.2,
2024-06-13T15:22:45.693,1527.60454,-34.2,
2024-06-13T15:22:45.833,1527.60485,-34.2,
2024-06-13T15:22:46.029,1527.60454,-34.2,
2024-06-13T15:22:46.167,1527.60483,-34.3,
2024-06-13T15:22:46.363,1527.60472,-34.2,
2024-06-13T15:22:46.500,1527.6047,-34.2,
2024-06-13T15:22:46.695,1527.60441,-34.2,
2024-06-13T15:22:46.834,1527.60447,-34.2,
2024-06-13T15:22:47.030,1527.60451,-34.2,
2024-06-13T15:22:47.167,1527.60484,-34.2,
2024-06-13T15:22:47.363,1527.60498,-34.3,
2024-06-13T15:22:47.502,1527.60513,-34.3,
2024-06-13T15:22:47.697,1527.60477,-34.2,
2024-06-13T15:22:47.836,1527.6046,-34.2,
2024-06-13T15:22:48.031,1527.60441,-34.2,
2024-06-13T15:22:48.168,1527.6047,-34.2,
2024-06-13T15:22:48.364,1527.60479,-34.2,
2024-06-13T15:22:48.503,1527.60498,-34.3,
2024-06-13T15:22:48.830,1527.60517,-34.2,
2024-06-13T15:22:48.843,1527.605,-34.3,
2024-06-13T15:22:49.040,1527.60461,-34.1,
2024-06-13T15:22:49.169,1527.60487,-34.2,
2024-06-13T15:22:49.364,1527.60473,-34.2,
2024-06-13T15:22:49.503,1527.60485,-34.2,
2024-06-13T15:22:49.698,1527.60476,-34.3,
2024-06-13T15:22:49.836,1527.60473,-34.2,
2024-06-13T15:22:50.032,1527.60445,-34.2,
2024-06-13T15:22:50.170,1527.60456,-34.2,
2024-06-13T15:22:50.364,1527.6046,-34.2,
2024-06-13T15:22:50.503,1527.60496,-34.2,
2024-06-13T15:22:50.698,1527.60472,-34.2,
2024-06-13T15:22:50.837,1527.60496,-34.2,
2024-06-13T15:22:51.033,1527.60494,-34.3,
2024-06-13T15:22:51.170,1527.60496,-34.2,
2024-06-13T15:22:51.364,1527.60465,-34.2,
2024-06-13T15:22:51.509,1527.60464,-34.2,
2024-06-13T15:22:51.707,1527.60435,-34.2,
2024-06-13T15:22:51.838,1527.60461,-34.2,
2024-06-13T15:22:52.033,1527.60463,-34.2,
2024-06-13T15:22:52.170,1527.60454,-34.3,
2024-06-13T15:22:52.366,1527.60435,-34.2,
2024-06-13T15:22:52.506,1527.60462,-34.2,
2024-06-13T15:22:52.701,1527.60479,-34.2,
2024-06-13T15:22:52.972,1527.60525,-34.2,
2024-06-13T15:22:53.202,1527.60473,-34.2,
2024-06-13T15:22:53.460,1527.60451,-34.3,
2024-06-13T15:22:55.781,1527.99388,-33.8,
2024-06-13T15:22:56.005,1527.99331,-33.8,
2024-06-13T15:22:56.241,1527.99329,-33.9,
2024-06-13T15:22:56.499,1527.99241,-34.1,
2024-06-13T15:22:56.737,1527.99268,-33.9,
2024-06-13T15:22:56.978,1527.99244,-34,
2024-06-13T15:22:57.234,1527.99242,-34,
2024-06-13T15:22:57.477,1527.99221,-34,
2024-06-13T15:22:57.705,1527.99218,-34,
2024-06-13T15:22:57.938,1527.99226,-34,
2024-06-13T15:22:58.180,1527.99248,-34.1,
2024-06-13T15:22:58.447,1527.99296,-34.1,
2024-06-13T15:22:58.691,1527.99337,-34.1,
2024-06-13T15:23:02.962,1528.38712,-34.7,
2024-06-13T15:23:03.209,1528.38365,-34.6,
2024-06-13T15:23:03.470,1528.38326,-34.7,
2024-06-13T15:23:03.696,1528.38338,-34.8,
2024-06-13T15:23:07.849,1528.75657,-34.6,
2024-06-13T15:23:08.083,1528.75771,-34.6,
2024-06-13T15:23:08.343,1528.76729,-34.5,
2024-06-13T15:23:08.575,1528.77083,-34.6,
2024-06-13T15:23:08.827,1528.77541,-34.6,
2024-06-13T15:23:10.601,1529.1643,-34.1,
2024-06-13T15:23:10.878,1529.16432,-34.1,
2024-06-13T15:23:11.130,1529.16361,-34.2,
2024-06-13T15:23:11.361,1529.16307,-34.1,
2024-06-13T15:23:11.619,1529.16222,-33.9,
2024-06-13T15:23:11.857,1529.16255,-34,
2024-06-13T15:23:12.115,1529.16259,-34,
2024-06-13T15:23:12.442,1529.16222,-34.08935393,
2024-06-13T15:23:12.608,1529.16283,-34.225082,
2024-06-13T15:23:12.851,1529.16258,-34.2136079,
2024-06-13T15:23:13.091,1529.16277,-34.2136079,
2024-06-13T15:23:13.329,1529.16279,-34.225082,
2024-06-13T15:23:13.579,1529.16286,-34.28291168,
2024-06-13T15:23:15.541,1529.55427,-35.81698709,
2024-06-13T15:23:15.823,1529.55368,-34.02304814,
2024-06-13T15:23:16.077,1529.55489,-34.2945706,
2024-06-13T15:23:16.319,1529.55414,-34.19075024,
2024-06-13T15:23:16.552,1529.55337,-34.04503778,
2024-06-13T15:23:16.822,1529.55261,-34.27128398,
2024-06-13T15:23:17.050,1529.55258,-34.32973634,
2024-06-13T15:23:17.281,1529.55219,-34.25968732,
2024-06-13T15:23:17.528,1529.55209,-34.25968732,
2024-06-13T15:23:17.792,1529.55157,-34.43697499,
2024-06-13T15:23:18.018,1529.55196,-34.46116973,
2024-06-13T15:23:18.251,1529.5521,-34.44905551,
2024-06-13T15:23:18.505,1529.55231,-34.42492798,
2024-06-13T15:23:21.006,1529.92828,-34.84126156,
2024-06-13T15:23:21.262,1529.93123,-34.98940738,
2024-06-13T15:23:21.514,1529.93425,-34.85452247,
2024-06-13T15:23:21.743,1529.93782,-34.98940738,
2024-06-13T15:23:22.003,1529.94614,-34.93494968,
2024-06-13T15:23:22.235,1529.94619,-34.73660723,
2024-06-13T15:23:22.502,1529.94629,-34.8148606,
2024-06-13T15:23:22.744,1529.94592,-35.03070352,
2024-06-13T15:23:23.002,1529.94558,-35.03070352,
2024-06-13T15:23:23.231,1529.94514,-35.03070352,
2024-06-13T15:23:23.490,1529.94524,-35.00312917,
2024-06-13T15:23:24.212,1530.29763,-37.64471553,
2024-06-13T15:23:25.003,1530.30974,-37.56961951,
2024-06-13T15:23:25.259,1530.33506,-35.95166283,
2024-06-13T15:23:25.534,1530.33328,-36.03800653,
2024-06-13T15:23:25.826,1530.33287,-36.10833916,
2024-06-13T15:23:26.073,1530.33319,-36.10833916,
2024-06-13T15:23:26.312,1530.33291,-36.09064893,
2024-06-13T15:23:26.550,1530.33283,-36.00326279,
2024-06-13T15:23:26.817,1530.33247,-36.16184634,
2024-06-13T15:23:27.046,1530.33231,-36.16184634,
2024-06-13T15:23:27.280,1530.33195,-36.23423043,
2024-06-13T15:23:27.531,1530.33187,-36.17982957,
2024-06-13T15:23:27.796,1530.33231,-36.28932138,
2024-06-13T15:23:28.029,1530.33273,-36.25251654,
2024-06-13T15:23:28.262,1530.33278,-36.10833916,
2024-06-13T15:23:28.515,1530.33277,-36.17982957,
2024-06-13T15:23:28.737,1530.33273,-36.16184634,
2024-06-13T15:23:29.250,1530.31141,-37.69551079,
2024-06-13T15:23:31.845,1530.72398,-35.60667306,
2024-06-13T15:23:32.102,1530.72524,-35.5129368,
2024-06-13T15:23:32.342,1530.72553,-35.57520231,
2024-06-13T15:23:32.574,1530.72511,-35.67030709,
2024-06-13T15:23:32.858,1530.72333,-35.5129368,
2024-06-13T15:23:33.101,1530.72333,-35.57520231,
2024-06-13T15:23:33.338,1530.72363,-35.68636236,
2024-06-13T15:23:33.571,1530.72382,-35.67030709,
2024-06-13T15:23:36.629,1531.10143,-34.225082,
2024-06-13T15:23:36.893,1531.10423,-34.2136079,
2024-06-13T15:23:37.149,1531.10697,-34.1453927,
2024-06-13T15:23:37.374,1531.11082,-34.20216403,
2024-06-13T15:23:37.628,1531.11938,-34.0560745,
2024-06-13T15:23:37.872,1531.11883,-34.00116928,
2024-06-13T15:23:38.109,1531.11874,-34.07823243,
2024-06-13T15:23:38.352,1531.11861,-34.10050399,
2024-06-13T15:23:38.596,1531.11785,-34.15668776,
2024-06-13T15:23:38.846,1531.11808,-34.1453927,
2024-06-13T15:23:40.616,1531.50839,-35.24328812,
2024-06-13T15:23:40.907,1531.50657,-34.35333936,
2024-06-13T15:23:41.186,1531.50625,-34.3062609,
2024-06-13T15:23:41.406,1531.50582,-34.3062609,
2024-06-13T15:23:41.665,1531.50509,-34.37707136,
2024-06-13T15:23:41.899,1531.50523,-34.38898616,
2024-06-13T15:23:42.155,1531.50516,-34.41291429,
2024-06-13T15:23:42.377,1531.50529,-34.44905551,
2024-06-13T15:23:42.628,1531.50515,-34.47331784,
2024-06-13T15:23:42.875,1531.50499,-34.49771647,
2024-06-13T15:23:43.125,1531.50531,-34.50996738,
2024-06-13T15:23:43.375,1531.50541,-34.52225295,
2024-06-13T15:23:43.626,1531.50621,-34.58420756,
2024-06-13T15:23:45.905,1531.89834,-34.67245621,
2024-06-13T15:23:46.164,1531.89946,-34.54692884,
2024-06-13T15:23:46.387,1531.89938,-34.48550002,
2024-06-13T15:23:46.634,1531.89755,-34.53457337,
2024-06-13T15:23:46.876,1531.89731,-34.55931956,
2024-06-13T15:23:47.146,1531.89679,-34.67245621,
2024-06-13T15:23:47.371,1531.89712,-34.60923901,
2024-06-13T15:23:47.607,1531.8967,-34.73660723,
2024-06-13T15:23:47.854,1531.89697,-34.69800302,
2024-06-13T15:23:48.087,1531.89687,-34.67245621,
2024-06-13T15:23:48.343,1531.89673,-34.68521083,
2024-06-13T15:23:48.575,1531.8968,-34.69800302,
2024-06-13T15:23:48.833,1531.89652,-34.85452247,
2024-06-13T15:23:50.867,1532.27316,-36.02059991,
2024-06-13T15:23:51.103,1532.27415,-35.9345982,
2024-06-13T15:23:51.360,1532.28193,-35.85026652,
2024-06-13T15:23:51.595,1532.28535,-35.86700236,
2024-06-13T15:23:51.845,1532.2896,-35.73488739,
2024-06-13T15:23:52.074,1532.292,-35.73488739,
2024-06-13T15:23:52.334,1532.29152,-35.65431096,
2024-06-13T15:23:52.569,1532.29137,-35.62249437,
2024-06-13T15:23:52.823,1532.29178,-35.63837353,
2024-06-13T15:23:53.052,1532.29115,-35.71865206,
2024-06-13T15:23:53.299,1532.29018,-35.7024772,
2024-06-13T15:23:53.563,1532.28999,-35.81698709,
2024-06-13T15:23:53.818,1532.29047,-35.81698709,
2024-06-13T15:23:56.877,1532.68226,-35.39102157,
2024-06-13T15:23:57.148,1532.68176,-35.71865206,
2024-06-13T15:23:57.372,1532.68153,-35.60667306,
2024-06-13T15:23:57.610,1532.68098,-35.73488739,
2024-06-13T15:23:57.858,1532.681,-35.85026652,
2024-06-13T15:23:58.086,1532.68051,-35.80044252,
2024-06-13T15:23:58.344,1532.68025,-35.63837353,
2024-06-13T15:23:58.578,1532.68065,-35.59090918,
2024-06-13T15:23:58.832,1532.68069,-35.76754126,
2024-06-13T15:24:01.906,1533.07357,-34.02304814,
2024-06-13T15:24:02.186,1533.07437,-34.03402904,
2024-06-13T15:24:02.416,1533.07438,-34.06713933,
2024-06-13T15:24:02.661,1533.07303,-34.17936637,
2024-06-13T15:24:02.893,1533.0731,-34.19075024,
2024-06-13T15:24:03.162,1533.07226,-34.20216403,
2024-06-13T15:24:03.385,1533.07212,-34.24812155,
2024-06-13T15:24:03.624,1533.07235,-34.17936637,
2024-06-13T15:24:05.976,1533.45189,-33.41035157,
2024-06-13T15:24:06.237,1533.45295,-33.38187314,
2024-06-13T15:24:06.491,1533.45517,-33.31614083,
2024-06-13T15:24:06.730,1533.46057,-33.21481621,
2024-06-13T15:24:06.986,1533.46796,-33.25138859,
2024-06-13T15:24:07.222,1533.46742,-33.29754147,
2024-06-13T15:24:07.469,1533.46732,-33.26979093,
2024-06-13T15:24:07.699,1533.46709,-33.32547047,
2024-06-13T15:24:07.949,1533.46687,-33.41988603,
2024-06-13T15:24:08.195,1533.46634,-33.46787486,
2024-06-13T15:24:08.432,1533.46619,-33.43901798,
2024-06-13T15:24:10.713,1533.85857,-33.70590401,
2024-06-13T15:24:10.992,1533.85788,-33.68556231,
2024-06-13T15:24:11.227,1533.85756,-33.70590401,
2024-06-13T15:24:11.481,1533.85737,-33.70590401,
2024-06-13T15:24:11.710,1533.85703,-33.70590401,
2024-06-13T15:24:11.965,1533.85676,-33.75717904,
2024-06-13T15:24:12.208,1533.85616,-33.87216143,
2024-06-13T15:24:12.455,1533.85625,-33.85102784,
2024-06-13T15:24:12.685,1533.85649,-33.85102784,
2024-06-13T15:24:12.934,1533.85641,-33.94694954,
2024-06-13T15:24:13.183,1533.85615,-33.90405591,
2024-06-13T15:24:13.415,1533.85655,-33.87216143,
2024-06-13T15:24:13.661,1533.85654,-33.87216143,
2024-06-13T15:24:16.012,1534.25057,-34.02304814,
2024-06-13T15:24:16.245,1534.25128,-33.97940009,
2024-06-13T15:24:16.512,1534.24909,-34.07823243,
2024-06-13T15:24:16.743,1534.24862,-34.10050399,
2024-06-13T15:24:16.981,1534.24891,-34.12289035,
2024-06-13T15:24:17.221,1534.24911,-34.15668776,
2024-06-13T15:24:17.486,1534.24888,-34.2365865,
2024-06-13T15:24:17.716,1534.24896,-34.3062609,
2024-06-13T15:24:17.948,1534.24892,-34.24812155,
2024-06-13T15:24:18.196,1534.24884,-34.2136079,
2024-06-13T15:24:18.455,1534.24859,-34.25968732,
2024-06-13T15:24:18.690,1534.24868,-34.2945706,
2024-06-13T15:24:21.703,1534.62835,-34.27128398,
2024-06-13T15:24:21.936,1534.63053,-34.28291168,
2024-06-13T15:24:22.184,1534.63325,-34.25968732,
2024-06-13T15:24:22.411,1534.63644,-34.13412695,
2024-06-13T15:24:22.663,1534.64452,-34.06713933,
2024-06-13T15:24:22.896,1534.64493,-34.0560745,
2024-06-13T15:24:23.167,1534.64478,-34.1453927,
2024-06-13T15:24:23.389,1534.64473,-34.17936637,
2024-06-13T15:24:23.630,1534.6446,-34.16801226,
2024-06-13T15:24:26.032,1535.03516,-34.60923901,
2024-06-13T15:24:26.269,1535.03515,-34.60923901,
2024-06-13T15:24:26.528,1535.03409,-34.60923901,
2024-06-13T15:24:26.762,1535.03407,-34.57174573,
2024-06-13T15:24:26.999,1535.03381,-34.63441557,
2024-06-13T15:24:27.235,1535.0338,-34.63441557,
2024-06-13T15:24:27.499,1535.03379,-34.6470588,
2024-06-13T15:24:27.720,1535.03395,-34.710833,
2024-06-13T15:24:27.956,1535.03428,-34.67245621,
2024-06-13T15:24:28.206,1535.03416,-34.69800302,
2024-06-13T15:24:28.464,1535.03452,-34.78861916,
2024-06-13T15:24:28.699,1535.03527,-34.84126156,
2024-06-13T15:24:31.799,1535.4384,-33.82999659,
2024-06-13T15:24:32.027,1535.42889,-33.73659633,
2024-06-13T15:24:32.261,1535.42984,-33.7675071,
2024-06-13T15:24:32.523,1535.42802,-33.79863945,
2024-06-13T15:24:32.758,1535.42751,-33.80906669,
2024-06-13T15:24:33.002,1535.42776,-33.82999659,
2024-06-13T15:24:33.235,1535.42803,-33.86158178,
2024-06-13T15:24:33.505,1535.4274,-33.94694954,
2024-06-13T15:24:33.731,1535.42745,-33.92544977,
2024-06-13T15:24:36.081,1535.80903,-33.41035157,
2024-06-13T15:24:36.331,1535.8131,-33.33482019,
2024-06-13T15:24:36.562,1535.81549,-33.35358024,
2024-06-13T15:24:36.835,1535.82464,-33.42944147,
2024-06-13T15:24:37.058,1535.82441,-33.38187314,
2024-06-13T15:24:37.302,1535.82393,-33.47753659,
2024-06-13T15:24:37.544,1535.82422,-33.50665141,
2024-06-13T15:24:37.813,1535.82342,-33.59518563,
2024-06-13T15:24:38.041,1535.82338,-33.54577731,
2024-06-13T15:24:38.270,1535.82291,-33.56547324,
2024-06-13T15:24:38.523,1535.82348,-33.48721986,
2024-06-13T15:24:38.754,1535.82369,-33.56547324,
2024-06-13T15:24:40.817,1536.21441,-33.61510743,
2024-06-13T15:24:41.045,1536.21543,-33.59518563,
2024-06-13T15:24:41.292,1536.21488,-33.54577731,
2024-06-13T15:24:41.543,1536.21419,-33.58525889,
