Time,Wavelength,Power
2024-06-14T14:40:54.965,1527.60460,-27.7
2024-06-14T14:40:55.191,1527.60462,-27.7
2024-06-14T14:40:55.417,1527.60448,-27.7
2024-06-14T14:40:55.665,1527.60467,-27.6
2024-06-14T14:40:55.893,1527.60453,-27.7
2024-06-14T14:40:56.139,1527.60462,-27.7
2024-06-14T14:40:56.372,1527.60470,-27.7
2024-06-14T14:40:56.637,1527.60474,-27.7
2024-06-14T14:40:56.856,1527.60470,-27.7
2024-06-14T14:40:57.086,1527.60486,-27.7
2024-06-14T14:40:57.334,1527.60479,-27.7
2024-06-14T14:40:57.581,1527.60492,-27.7
2024-06-14T14:40:57.836,1527.60501,-27.7
2024-06-14T14:40:58.083,1527.60486,-27.7
2024-06-14T14:40:58.324,1527.60528,-27.7
2024-06-14T14:40:58.552,1527.60489,-27.7
2024-06-14T14:40:58.807,1527.60516,-27.7
2024-06-14T14:40:59.035,1527.60490,-27.7
2024-06-14T14:40:59.290,1527.60460,-27.7
2024-06-14T14:40:59.516,1527.60497,-27.7
2024-06-14T14:40:59.767,1527.60517,-27.7
2024-06-14T14:41:00.008,1527.60493,-27.7
2024-06-14T14:41:00.254,1527.60525,-27.7
2024-06-14T14:41:00.485,1527.60504,-27.7
2024-06-14T14:41:00.736,1527.60470,-27.7
2024-06-14T14:41:00.982,1527.60489,-27.7
2024-06-14T14:41:01.214,1527.60473,-27.7
2024-06-14T14:41:01.452,1527.60472,-27.7
2024-06-14T14:41:01.673,1527.60488,-27.7
2024-06-14T14:41:01.939,1527.60475,-27.7
2024-06-14T14:41:02.164,1527.60468,-27.7
2024-06-14T14:41:02.395,1527.60480,-27.7
2024-06-14T14:41:02.642,1527.60473,-27.7
2024-06-14T14:41:02.887,1527.60477,-27.7
2024-06-14T14:41:03.128,1527.60484,-27.7
2024-06-14T14:41:03.351,1527.60445,-27.7
2024-06-14T14:41:03.607,1527.60448,-27.7
2024-06-14T14:41:03.921,1527.60458,-27.7
2024-06-14T14:41:04.089,1527.60523,-27.7
2024-06-14T14:41:04.324,1527.60505,-27.7
2024-06-14T14:41:04.548,1527.60501,-27.7
2024-06-14T14:41:04.788,1527.60494,-27.7
2024-06-14T14:41:05.037,1527.60471,-27.7
2024-06-14T14:41:05.284,1527.60434,-27.7
2024-06-14T14:41:05.511,1527.60458,-27.7
2024-06-14T14:41:05.750,1527.60481,-27.7
2024-06-14T14:41:05.987,1527.60478,-27.7
2024-06-14T14:41:06.245,1527.60462,-27.7
2024-06-14T14:41:06.469,1527.60487,-27.7
2024-06-14T14:41:06.703,1527.60463,-27.7
2024-06-14T14:41:06.950,1527.60456,-27.7
2024-06-14T14:41:07.172,1527.60465,-27.7
2024-06-14T14:41:07.419,1527.60542,-27.7
2024-06-14T14:41:09.780,1527.99378,-26.8
2024-06-14T14:41:10.013,1527.99315,-26.8
