Time,Wavelength,Power
2024-06-19T12:50:41.470,1527.60412,-31.3,0
2024-06-19T12:50:41.695,1527.60380,-31.3,0
2024-06-19T12:50:41.945,1527.60384,-31.3,0
2024-06-19T12:50:42.176,1527.60441,-31.3,0
2024-06-19T12:50:42.436,1527.60495,-31.4,0
2024-06-19T12:50:42.662,1527.60498,-31.5,0
2024-06-19T12:50:42.900,1527.60499,-31.5,0
2024-06-19T12:50:43.142,1527.60509,-31.5,0
2024-06-19T12:50:43.373,1527.60493,-31.5,0
2024-06-19T12:50:43.622,1527.60443,-31.6,0
2024-06-19T12:50:43.854,1527.60457,-31.5,0
2024-06-19T12:50:44.117,1527.60471,-31.5,0
2024-06-19T12:50:44.343,1527.60430,-31.6,0
2024-06-19T12:50:44.596,1527.60420,-31.6,0
2024-06-19T12:50:44.831,1527.60435,-31.7,0
2024-06-19T12:50:45.090,1527.60430,-31.8,0
2024-06-19T12:50:45.316,1527.60425,-31.7,0
2024-06-19T12:50:45.557,1527.60452,-31.5,0
2024-06-19T12:50:45.804,1527.60480,-31.5,0
2024-06-19T12:50:46.048,1527.60425,-31.6,0
2024-06-19T12:50:46.287,1527.60400,-31.6,0
2024-06-19T12:50:46.528,1527.60419,-31.5,0
2024-06-19T12:50:46.778,1527.60457,-31.6,0
2024-06-19T12:50:47.006,1527.60419,-31.5,0
2024-06-19T12:50:47.255,1527.60464,-31.6,0
2024-06-19T12:50:47.498,1527.60494,-31.5,0
2024-06-19T12:50:47.771,1527.60499,-31.5,0
2024-06-19T12:50:48.002,1527.60436,-31.5,0
2024-06-19T12:50:48.249,1527.60413,-31.5,0
2024-06-19T12:50:48.482,1527.60453,-31.5,0
2024-06-19T12:50:48.740,1527.60470,-31.6,0
2024-06-19T12:50:48.967,1527.60420,-31.5,0
2024-06-19T12:50:49.210,1527.60429,-31.6,0
2024-06-19T12:50:49.455,1527.60471,-31.5,0
2024-06-19T12:50:49.710,1527.60493,-31.5,0
2024-06-19T12:50:49.938,1527.60461,-31.4,0
2024-06-19T12:50:50.181,1527.60462,-31.5,0
2024-06-19T12:50:50.425,1527.60506,-31.4,0
2024-06-19T12:50:50.651,1527.60441,-31.5,0
2024-06-19T12:50:50.900,1527.60440,-31.5,0
2024-06-19T12:50:51.127,1527.60457,-31.5,0
2024-06-19T12:50:51.390,1527.60472,-31.4,0
2024-06-19T12:50:51.617,1527.60468,-31.5,0
2024-06-19T12:50:51.854,1527.60405,-31.5,0
2024-06-19T12:50:52.099,1527.60423,-31.4,0
2024-06-19T12:50:52.338,1527.60472,-31.5,0
2024-06-19T12:50:52.580,1527.60414,-31.6,0
2024-06-19T12:50:52.818,1527.60411,-31.4,0
2024-06-19T12:50:53.069,1527.60484,-31.6,0
2024-06-19T12:50:53.293,1527.60490,-31.6,0
2024-06-19T12:50:55.421,1527.99381,-31.4,0
2024-06-19T12:50:55.655,1527.99314,-31.3,0
2024-06-19T12:50:55.903,1527.99247,-31.4,0
2024-06-19T12:50:56.145,1527.99220,-31.5,0
2024-06-19T12:50:56.395,1527.99238,-31.5,0
2024-06-19T12:50:56.625,1527.99210,-31.5,0
2024-06-19T12:50:56.875,1527.99221,-31.6,0
2024-06-19T12:50:57.105,1527.99256,-31.6,0
2024-06-19T12:50:57.367,1527.99249,-31.8,0
2024-06-19T12:50:57.591,1527.99219,-31.8,0
2024-06-19T12:50:57.857,1527.99208,-31.6,0
2024-06-19T12:50:58.097,1527.99286,-31.8,0
2024-06-19T12:50:58.360,1527.99316,-31.7,0
2024-06-19T12:50:58.586,1527.99274,-31.7,0
2024-06-19T12:50:58.830,1527.99302,-31.6,0
2024-06-19T12:50:59.073,1527.99332,-31.8,0
2024-06-19T12:50:59.330,1527.99308,-31.7,0
2024-06-19T12:50:59.561,1527.99324,-32.2,0
2024-06-19T12:50:59.802,1527.99329,-32.0,0
2024-06-19T12:51:00.049,1527.99329,-31.9,0
2024-06-19T12:51:00.276,1527.99345,-31.9,0
2024-06-19T12:51:00.522,1527.99349,-32.0,0
2024-06-19T12:51:00.748,1527.99420,-32.1,0
2024-06-19T12:51:01.010,1527.99423,-31.9,0
2024-06-19T12:51:01.229,1527.99363,-32.0,0
2024-06-19T12:51:01.472,1527.99360,-32.0,0
2024-06-19T12:51:01.714,1527.99370,-32.0,0
2024-06-19T12:51:01.958,1527.99356,-32.0,0
2024-06-19T12:51:02.197,1527.99329,-32.1,0
2024-06-19T12:51:02.439,1527.99336,-32.1,0
2024-06-19T12:51:02.690,1527.99363,-32.1,0
2024-06-19T12:51:02.920,1527.99342,-32.2,0
2024-06-19T12:51:03.169,1527.99347,-32.0,0
2024-06-19T12:51:06.539,1528.38328,-31.9,0
2024-06-19T12:51:06.775,1528.38411,-31.8,0
2024-06-19T12:51:07.029,1528.38393,-31.8,0
2024-06-19T12:51:07.285,1528.38329,-31.9,0
2024-06-19T12:51:07.515,1528.38318,-31.9,0
2024-06-19T12:51:07.754,1528.38260,-32.0,0
2024-06-19T12:51:08.003,1528.38254,-32.0,0
2024-06-19T12:51:08.264,1528.38213,-31.9,0
2024-06-19T12:51:08.506,1528.38236,-32.1,0
2024-06-19T12:51:08.737,1528.38245,-32.1,0
2024-06-19T12:51:08.991,1528.38287,-32.0,0
2024-06-19T12:51:09.234,1528.38270,-32.2,0
2024-06-19T12:51:09.493,1528.38290,-32.2,0
2024-06-19T12:51:09.723,1528.38304,-32.1,0
2024-06-19T12:51:09.985,1528.38345,-32.2,0
2024-06-19T12:51:10.215,1528.38318,-32.2,0
2024-06-19T12:51:10.466,1528.38347,-32.1,0
2024-06-19T12:51:10.696,1528.38362,-32.0,0
2024-06-19T12:51:10.959,1528.38400,-32.3,0
2024-06-19T12:51:11.184,1528.38355,-32.3,0
2024-06-19T12:51:11.429,1528.38383,-32.3,0
2024-06-19T12:51:11.672,1528.38404,-32.5,0
2024-06-19T12:51:11.930,1528.38398,-32.4,0
2024-06-19T12:51:12.155,1528.38379,-32.5,0
2024-06-19T12:51:12.397,1528.38343,-32.4,0
2024-06-19T12:51:12.644,1528.38400,-32.6,0
2024-06-19T12:51:12.874,1528.38406,-32.5,0
2024-06-19T12:51:13.123,1528.38387,-32.6,0
2024-06-19T12:51:16.234,1528.75615,-32.1,0
2024-06-19T12:51:16.470,1528.75918,-31.8,0
2024-06-19T12:51:16.710,1528.76544,-31.8,0
2024-06-19T12:51:16.957,1528.76819,-31.8,0
2024-06-19T12:51:17.190,1528.77235,-31.8,0
2024-06-19T12:51:17.442,1528.77625,-32.0,0
2024-06-19T12:51:17.673,1528.77621,-31.8,0
2024-06-19T12:51:17.935,1528.77649,-32.1,0
2024-06-19T12:51:18.163,1528.77624,-32.0,0
2024-06-19T12:51:18.423,1528.77579,-31.9,0
2024-06-19T12:51:18.672,1528.77630,-31.9,0
2024-06-19T12:51:18.933,1528.77570,-32.1,0
2024-06-19T12:51:19.162,1528.77568,-32.2,0
2024-06-19T12:51:19.408,1528.77501,-32.0,0
2024-06-19T12:51:19.638,1528.77486,-32.1,0
2024-06-19T12:51:19.898,1528.77447,-32.1,0
2024-06-19T12:51:20.122,1528.77391,-32.0,0
